Ecms1,Cross_sig26e,Cross_sig20e,Cross_sig21e,Cross_sig22e,Cross_sig23e,Cross_sig24e,Cross_sig25e,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
0.5,1.5584688612162818,1.7054813816101095,2.294245042833154e-06,1.251003745039725e-10,0.0,0.0,0.0,-0.0033570285204752373,0.01066286306942369,-9.411775612496592e-05,-0.5621726814968244,-0.001954099094552187,1.978961023394736e-05,0.0003042866204857153,1.6369229347279594e-07,0.00036796719468539847,0.0,-1.3152622263274425e-06,-1.6547270716831875e-07,-8.654037748007359e-09,1.5651322760843037e-06,1.5376659508018914e-06,5.8647165379200865e-09,3.3367176688240012e-09,2.558977145698942e-11,3.7408130721079315e-09,-6.623321906472663e-09,-4.786558639241211e-10,-2.1468556131895968e-10,-1.7471594677554685e-12,-1.974330844352055e-10,5.395938979841232e-10,1.5205333039755553e-12,8.089880447904402e-13,3.8417577694099935e-15,8.141320165064291e-13,-1.6898960292573603e-12,1.0816558785708241,0.0031166749651862875,0.0,0.0,-0.0
3.0,1.586443508657335,4.9852062430079,0.0005771591784764496,5.7902525831821094e-06,4.580803736331518e-09,9.067209205682047e-10,4.04121180963557e-13,-0.03271100392269742,-0.0037422236000837932,-0.00480243821020904,-1.1453895898713176,-0.014852052851497797,0.0010627446180999029,0.004703615154436442,4.824586590793081e-05,0.0056076169795156155,0.0,-0.00032158628298766315,-9.779410678573346e-05,-1.1861154946636964e-05,4.2007106293816e-05,0.0003864600758616244,8.058251008139568e-06,3.0004619522591374e-06,2.0662344893959675e-07,3.1857581819530064e-06,-9.229282069575458e-06,-3.3467208538925015e-06,-8.120098805628466e-07,-7.475957174191946e-08,-7.679183416977249e-07,3.792066142502516e-06,6.567016931618432e-08,1.4352475598975234e-08,1.0327150009568128e-09,1.4428896401548981e-08,-7.311204014569558e-08,1.0971726957544778,0.035528638088833664,0.0,0.0,-0.0
5.5,1.4853732051161592,5.822604178130113,0.0036798868566867426,0.0001232331961245059,2.722559777623701e-07,1.244099174790847e-07,1.7780177330450897e-10,-0.059877229519355916,-0.028896579277214753,-0.014635673810720853,-1.3847014364134922,-0.023458902368141205,0.0033023522666072295,0.011686398233896547,0.0002486500122210641,0.0138532318227774,0.0,-0.0014525015909998304,-0.0005005392822477967,-9.15719385462294e-05,8.703555472792491e-05,0.001792500849212124,6.127012929190806e-05,2.400394778712211e-05,2.760712735305534e-06,2.5360432840312814e-05,-7.121917174368423e-05,-3.8892982254858376e-05,-9.720130699798012e-06,-1.5642190960539173e-06,-9.166344580158144e-06,4.450495889302636e-05,1.3794703393702669e-06,2.9090739679726244e-07,4.016374970852792e-08,2.926119400223913e-07,-1.5433238510626336e-06,1.03310718562856,0.07067656177296872,0.0,0.0,-0.0
8.0,1.3912644449218807,6.056247251707462,0.011064502233610884,0.000642899379106332,2.523025472545015e-06,1.7313521971651369e-06,4.73380623589037e-09,-0.08236784441740858,-0.05401248788825127,-0.027059526212417716,-1.5385158754919115,-0.02905624609389736,0.00619645341426435,0.02012597633569985,0.0006141363935989158,0.023787058333459628,0.0,-0.0032515927895585906,-0.0012094281627780263,-0.00028205865397765156,0.00018192714212161533,0.004109342367775531,0.00018362460480983388,7.751858363040977e-05,1.1482282098756999e-05,8.197298982765786e-05,-0.00021632099303494007,-0.00014350240924017996,-3.828345623876834e-05,-8.047783796767064e-06,-3.579345507656059e-05,0.00016627285569055736,7.070823633425288e-06,1.565304890029187e-06,2.949783782943495e-07,1.5761246327460573e-06,-7.970303833126737e-06,0.9752961869156654,0.10149887795189583,0.0,0.0,-0.0
10.5,1.306049078716529,6.066843132935956,0.02378475592046403,0.001889214297325914,1.0914489712021691e-05,9.630721216957738e-06,4.004300535598304e-08,-0.10113263634028301,-0.07759654922994226,-0.040730217965043426,1.488663605409885,0.03290451877723914,0.009469941916934394,0.029439621716416536,0.0011173887963597364,0.034727613716326135,0.0,-0.005472536387256278,-0.002153952445199944,-0.000597314089554866,0.00040377559424801363,0.007065334855303342,0.0003761387856947517,0.00017109062130456353,2.954178020058141e-05,0.00018135689021228386,-0.00044824388580080236,-0.00033465695550026134,-9.479812691556566e-05,-2.3474365421564304e-05,-8.76758475859913e-05,0.00039277220839666673,2.040115595311101e-05,4.792542564497847e-06,1.0836789680547948e-06,4.832054284215629e-06,-2.3199319587976515e-05,0.9241836671463295,0.12688791772306895,0.0,0.0,-0.0
13.0,1.2278693582419766,5.979940100654287,0.04232398981598884,0.004103087617764345,3.153391445565035e-05,3.315160008465767e-05,1.8646911614794703e-07,-0.11709577206869828,-0.0994445294027058,-0.05495346767266024,1.3969062080046102,0.03568850347178754,0.012993321908260717,0.039264704859392166,0.0017266138783602113,0.04624634268228539,0.0,-0.007928456951050546,-0.0032643089901630046,-0.001036687627453354,0.0008131584743476139,0.010436360439987224,0.000630028435971902,0.00030775662186459054,5.885229946623696e-05,0.0003271410543837573,-0.0007582050224031233,-0.0006143113194843915,-0.00018333837320389697,-5.104523505898085e-05,-0.00016754425966108302,0.0007298024155033596,4.366750760132738e-05,1.0843404937893883e-05,2.7728011170903455e-06,1.0949099498318028e-05,-5.009933821358569e-05,0.878391310808137,0.14707909568319513,0.0,0.0,-0.0
15.5,1.1550880455847485,5.847633650225524,0.06676062534031857,0.007426291995551004,7.13368923732638e-05,8.528404344421148e-05,6.058587285195927e-07,-0.1309408527217425,-0.11963743359941838,-0.06935634336322433,1.3198733393431212,0.037789030740404427,0.01670378696224133,0.04935621933905854,0.0024145762166913817,0.05805107985407124,0.0,-0.010495719199250738,-0.004484994839281582,-0.0015935770919882377,0.001450380651143592,0.014063483454824527,0.0009343207473518507,0.00048826754618793637,0.00010026153318036398,0.000520470872442704,-0.0011337680646836823,-0.0009754803001336613,-0.0003049421556316818,-9.299723407493599e-05,-0.0002751799789310223,0.0011720975184201093,7.80982722196769e-05,2.0396655610995274e-05,5.716057820269624e-06,2.0628280550901263e-05,-9.035678110183032e-05,0.8368043516787407,0.16266813487354434,0.0,0.0,-0.0
18.0,1.086583096057851,5.6946936013907425,0.09689500062488143,0.011923368382002142,0.00013733501485235777,0.00018096845467230338,1.5507756359056657e-06,-0.14315868906094947,-0.13831692899672324,-0.08373260456715306,1.2531934769118056,0.03942808269520807,0.020569366245907706,0.05954022726294644,0.0031597890075511386,0.0699332826660283,0.0,-0.013095108515907379,-0.005774436516782162,-0.002259411584283545,0.002340332599373553,0.017837397501573447,0.0012788751974783493,0.0007123273379874372,0.00015390041205279702,0.0007612801764394931,-0.0015626205884162092,-0.0014075664433676124,-0.0004587867365296785,-0.00015063903653533974,-0.0004086700386249411,0.0017094465626415394,0.00012402228029401505,3.3932617860829285e-05,1.0219080835041765e-05,3.437470295816687e-05,-0.0001446136556506304,0.798615141212781,0.1743059542903253,0.0,0.0,-0.0
20.5,1.0216331219996033,5.533957507736833,0.13234160769006742,0.017608648317353204,0.00023615182039460336,0.00033553850691347975,3.3564067729585645e-06,-0.15410484312062342,-0.1556256036165478,-0.09796682189912778,1.194203880447541,0.040741142253343104,0.02457249628583313,0.0696894115573169,0.0039457787452312825,0.08174007806632319,0.0,-0.015676792107973236,-0.007102134178588794,-0.0030251969901042034,0.003497345680237523,0.021683677780286067,0.0016551455708898593,0.0009792331019130923,0.000219468352806961,0.0010489500344802386,-0.0020338022071481757,-0.0018994488010715908,-0.0006430259449617603,-0.00022459043173214078,-0.0005652761589995697,0.0023302802738755083,0.0001811703324121364,5.1763858063897285e-05,1.6521312243599605e-05,5.252655481248153e-05,-0.00021278908701880176,0.7632348616041942,0.18259658922200028,0.0,0.0,-0.0
23.0,0.9597837358809365,5.372449787121926,0.17259668960434738,0.024468067927507775,0.0003738064005691655,0.0005635936936587704,6.423226167395768e-06,-0.16404172961873387,-0.1716914587979997,-0.11199502685932923,1.1411628831069307,0.04181407549370819,0.028702253787936075,0.0797089247978944,0.004760027300944517,0.09335787445861053,0.0,-0.018210059499539067,-0.008445906769103917,-0.0038822402206190195,0.004928730953385917,0.025551805404720174,0.0020556957370453984,0.0012878652960732133,0.00029641701674162327,0.0013826467970803624,-0.002538013649423512,-0.0024411093174759074,-0.000855400312054249,-0.00031502378407012577,-0.0007419474375170657,0.0030230385757215685,0.00024893201222075245,7.40735459524996e-05,2.4797546773930816e-05,7.529296708513415e-05,-0.0002943715182086233,0.7302238131063851,0.1880673998668271,0.0,0.0,-0.0
25.5,0.9007487095061699,5.214130663240509,0.21708849395142504,0.03247387041951466,0.0005559329436679583,0.0008779991662026809,1.1196399002155744e-05,-0.17316664912115368,-0.186625364170648,-0.12578342846105173,1.0928686914381482,0.04270282893157854,0.03295065411348365,0.08952757632161988,0.005593010436805159,0.1047020029485248,0.0,-0.020676397580161897,-0.009789675625723797,-0.0048224869262035175,0.006637214751384343,0.029407326591684678,0.0024762796140223296,0.001637995716405958,0.0003840698801619947,0.001761496130273056,-0.0030675668620568915,-0.0030218760281231598,-0.001093191675775127,-0.0004218020874281273,-0.0009356050383359245,0.0037768485997170006,0.00032654322693454125,0.00010095262686224853,3.516873796680052e-05,0.00010278739376210932,-0.00038859152920534657,0.699245261446699,0.19116639762422796,0.0,0.0,-0.0
28.0,0.8443444209089135,5.061248126717611,0.265214657819155,0.041594190721939484,0.0007874644868737235,0.0012899733708087169,1.814374708697386e-05,-0.18163042855377257,-0.20052235237037316,-0.13931634040988194,1.0484567295264016,0.04344474887469682,0.03731085195875513,0.09909199510558608,0.006437435614531685,0.11570974672874672,0.0,-0.02306515569417135,-0.01112181721406808,-0.005838593708029207,0.008622558008087691,0.03322674502153331,0.002911589939551551,0.0020279991338803508,0.0004817015426405154,0.0021846680192347256,-0.0036161693787014433,-0.0036344743654978468,-0.0013540937434778266,-0.0005445671351000326,-0.001143300091958876,0.004581970757046116,0.00041311571453194824,0.0001324205592485015,4.7711535504686456e-05,0.00013505369509044546,-0.0004945304828275856,0.6700353161538818,0.19226941420893448,0.0,0.0,-0.0
30.5,0.790448290581018,4.915051343221789,0.31636969258822534,0.051799262232937515,0.0010730812342707452,0.0018087658552046193,2.7738480783412456e-05,-0.18955018664706927,-0.2134639066840208,-0.15258903318635314,1.0072838909475765,0.04406533867108518,0.04177625855369184,0.10836255962752522,0.007287665796459785,0.12633540584761832,0.0,-0.02537087604549156,-0.01243397458378698,-0.0069239067638596505,0.01088260310038911,0.036994227868568395,0.0033582401816762628,0.0024574712902344213,0.0005885851288774901,0.002651414797093479,-0.004178682862002768,-0.004272295177286881,-0.0016355778382429347,-0.0006828221554418894,-0.0013622939079587298,0.005429905577534134,0.000507759181514995,0.0001684520534596096,6.246539779237697e-05,0.00017208624587764318,-0.0006112093355118047,0.6423829480802126,0.1916901059546334,0.0,0.0,-0.0
