Ecms1,Cross_sig26e,Cross_sig20e,Cross_sig21e,Cross_sig22e,Cross_sig23e,Cross_sig24e,Cross_sig25e,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
0.5,1.5584688612162818,1.7054813816101095,2.294245042833154e-06,1.251003745039725e-10,0.0,0.0,0.0,-0.0033570285204752373,0.01066286306942369,-9.411775612496592e-05,-0.5621726814968244,-0.001954099094552187,1.978961023394736e-05,0.0003042866204857153,1.6369229347279594e-07,0.00036796719468539847,-2.2832587619352022e-05,-1.3152622263274425e-06,-1.6547270716831875e-07,-8.654037748007359e-09,1.5651322760843037e-06,1.5376659508018914e-06,5.8647165379200865e-09,3.3367176688240012e-09,2.558977145698942e-11,3.7408130721079315e-09,-6.623321906472663e-09,-4.786558639241211e-10,-2.1468556131895968e-10,-1.7471594677554685e-12,-1.974330844352055e-10,5.395938979841232e-10,1.5205333039755553e-12,8.089880447904402e-13,3.8417577694099935e-15,8.141320165064291e-13,-1.6898960292573603e-12,1.0816558785708241,0.0031166749651862875,0.0,0.0,-0.0
1.0,1.6264818946386312,2.8402099822206877,1.915485705161757e-05,9.074255125085529e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,-0.008638443536018038,0.010706997706165075,-0.00046843601514899287,-0.7585407101252328,-0.004711972249945554,0.00010016670470206007,0.0008756430191881161,1.6316780568739773e-06,0.0010544747666861038,-0.0001157207449259916,-1.2559509985434878e-05,-2.759104565548232e-06,-1.633857880594586e-07,6.852235273385058e-06,1.4761901825333436e-05,1.1091856783457966e-07,4.8100455978742445e-08,9.664981878335723e-10,5.2538285227666044e-08,-1.2559099688139103e-07,-1.7577845790749666e-08,-5.504995917381689e-09,-1.2923945315353858e-10,-5.131842320188049e-09,1.9827628969127388e-08,1.1271411861564242e-10,3.7785748496074535e-11,5.748736745542653e-13,3.8006886307518376e-11,-1.2528254253370253e-10,1.123824397426314,0.008349236450808902,0.0,0.0,-0.0
5.0,1.505313192809684,5.725156343322485,0.0027625788845253574,7.855440739401587e-05,1.4881535204125385e-07,6.051461109990441e-08,7.247624722594992e-11,-0.054838738131791014,-0.02376925324570868,-0.012401425728135086,-1.346252572048028,-0.022032592588380345,0.0027892811602595034,0.010148721946923931,0.00019481022769004465,0.012040433357683736,-0.003200379466068295,-0.001164611605662375,-0.0003936596329436813,-6.762067305380948e-05,7.655348116789414e-05,0.0014299145885325374,4.5437842675427876e-05,1.7556299127343415e-05,1.8785542981039762e-06,1.855298614376159e-05,-5.2663821590870465e-05,-2.7178878634422278e-05,-6.712845381686662e-06,-9.998659943494352e-07,-6.338196745060291e-06,3.103012936177523e-05,8.815870886816938e-07,1.8511400141977563e-07,2.333946422253433e-08,1.8616890629218725e-07,-9.850982816538556e-07,1.0455567300614745,0.06391002096880476,0.0,0.0,-0.0
12.0,1.2584138222019652,6.022188632634742,0.03419759212595741,0.003090330631389193,2.1381602280712286e-05,2.1100066539325724e-05,1.062370098559029e-07,-0.11099795640009104,-0.09091099664297755,-0.04922661441323494,1.431509049493043,0.03467359262788861,0.011558951248244706,0.03529092789094899,0.0014720815982479216,0.041590447475282954,-0.012466797743045292,-0.006926998340727687,-0.0028041577081751273,-0.0008463964164227802,0.0006239168349410294,0.009049615385633996,0.0005218036885622889,0.00024783569881595634,4.5703922833097136e-05,0.0002631489282302879,-0.00062563134072262,-0.0004921521256152964,-0.00014396039520738073,-3.839401863189624e-05,-0.00013220275934650993,0.0005818952063058569,3.306711008030906e-05,8.0361441205733e-06,1.9657021803391646e-06,8.109520746717586e-06,-3.780474168771951e-05,0.8961489806306597,0.13959132685612258,0.0,0.0,-0.0
15.0,1.1692729992629167,5.876309222566464,0.061407914423603494,0.006668920555592983,6.150275625182999e-05,7.186452628893392e-05,4.893003193728873e-07,-0.1283154516619588,-0.11572464957578564,-0.0664729429309977,1.334343554837408,0.03741138131762911,0.01594853888175414,0.0473257372119231,0.002271794885227805,0.05567819572037764,-0.016554956797140214,-0.009977662993280172,-0.004234205245795155,-0.0014731970872756798,0.0013033354454904933,0.013323400766790883,0.0008699781589909752,0.00044867563690813544,9.099782264091685e-05,0.00047799354754135336,-0.001054014018633859,-0.0008971803455060751,-0.00027799310263499727,-8.338177357397759e-05,-0.000251507087024807,0.0010756741092342004,7.029282429255112e-05,1.8180115564623425e-05,5.011503791456212e-06,1.8380587548404132e-05,-8.119323860710756e-05,0.8448277648271422,0.15988691850227377,0.0,0.0,-0.0
25.0,0.9123404659038576,5.245413807784823,0.2078799148607069,0.030782528280434818,0.0005155442729600779,0.0008078553743597894,1.0082567962310662e-05,-0.17139883013065227,-0.18372436715980092,-0.1230458780615517,1.1021930350673577,0.04253781657617234,0.032091818666462484,0.08758269659774007,0.005425292096573125,0.10245835281823248,-0.02858711605329527,-0.02018908385861989,-0.009521533537604562,-0.004628143895241476,0.006273328647906921,0.02863848621938242,0.0023893621802006516,0.0015641051918628547,0.0003657175508215171,0.0016821549342229747,-0.0029599489778125085,-0.002904540280877565,-0.0010439014635378085,-0.00039915352092301655,-0.0008956588575146376,0.0036216881607454682,0.00031025054574878805,9.520774683964483e-05,3.2922645906810256e-05,9.690733716863446e-05,-0.0003687792327253908,0.7052919037044323,0.19071734227903023,0.0,0.0,-0.0
30.0,0.8010314121948983,4.943718283164574,0.30592500559587066,0.04967272392212152,0.0010115005310500358,0.0016959744455369297,2.5585498231173176e-05,-0.18800502627471888,-0.21094851468408285,-0.14995529122828632,1.0152846953828625,0.04394998819806014,0.040875079975677436,0.10653347458029472,0.0071173819868995255,0.12424256038357463,-0.0334958267435841,-0.024916511072438714,-0.012173456646277324,-0.006701604456720161,0.01040876724657334,0.03624545107803819,0.0032686538879375593,0.002368726878347342,0.0005665024813398559,0.0025546121209307927,-0.004065280537863834,-0.004142436246542566,-0.0015776692497024378,-0.0006539586108651341,-0.0013177146958985283,0.00525726285694911,0.000488237779921636,0.00016088398318108132,5.93369168937351e-05,0.0001642999553270565,-0.0005870615866294705,0.6477975389600146,0.19192732763812795,0.0,0.0,-0.0
40.0,0.6071819843870001,4.427934051842838,0.5284147992571331,0.10014013100235974,0.002730340548367405,0.004859653123066021,9.630821756001495e-05,-0.2160984805320208,-0.2550588237619113,-0.20072802083544625,0.8728980346767748,0.04557102803859387,0.05958190379450716,0.14050095203272941,0.010503633910177057,0.16278024911966557,-0.041241915042353035,-0.03336259090644732,-0.017152535319156025,-0.011581208331787924,0.021907851272256893,0.050693169232244706,0.005128152195588155,0.004441763767609907,0.0010672130249937987,0.004812202513106973,-0.006378313207091953,-0.0068265713125694105,-0.002853630225957623,-0.0013390444479210934,-0.002256417300700221,0.008923835030384743,0.000926780283333738,0.0003457580928784355,0.00013860853016711466,0.00035532683263187246,-0.0011358309997590952,0.5488204737334094,0.17825472104551462,0.0,0.0,-0.0
55.0,0.3814695396204342,3.869925049422421,0.87336622059214,0.20773910727703537,0.0061976483213088684,0.01622970503714649,0.0003280290929090768,-0.2513986035230117,-0.3010485517897334,-0.2702967578243649,0.7068295335797445,0.04583743900974356,0.08957893354767875,0.18060865352233121,0.015286981093228218,0.2071407655457394,-0.04869187388860103,-0.04374446233923523,-0.023545856898970912,-0.02022418804476504,0.04665229986273874,0.0701051816393106,0.002230090154368096,0.007287932501503954,0.00199897251896492,0.009437559226254732,-0.00982829880064531,-0.01573834149299531,-0.005303365654795919,-0.002732195473430636,-0.003687686294045416,0.014847412902387917,0.0014819664001342297,0.0007380843205668734,0.0003189567062646302,0.0007726823175313064,-0.0021420506098898382,0.42808267533763505,0.13608143755977217,0.0,0.0,-0.0
65.0,0.2694123795073051,3.61822192419394,1.0844124263575416,0.30336594461406907,0.012959906375920482,0.02151519841697702,0.0006359054546645204,-0.2725951651318425,-0.3211678228819474,-0.31315750011037785,0.6158774013600172,0.04476836750675784,0.11011461352855076,0.20053487039225104,0.018131724287065793,0.22850114967518723,-0.051611030365673286,-0.049436085272872826,-0.027058450172388004,-0.026615099950209668,0.06765689718427796,0.08159677942870845,0.009966966438809505,0.012111284792864439,0.002703738843741709,0.013338277221613787,-0.012017481922954898,-0.013727213728156707,-0.0066620563683494095,-0.003853183064411143,-0.004552511138513097,0.018837378889509874,0.002277883425324212,0.0010849421175687217,0.00047445873651998663,0.0011298462056598142,-0.0028801447053197165,0.3606370769574488,0.10111114082133586,0.0,0.0,-0.0
