Ecms1,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
0.001,-3.3273117222085373e-07,0.0006367959735698587,-1.9418287307182683e-11,-0.02658041420662379,-2.0963547425669438e-07,3.984150968997347e-12,2.659615626724779e-08,9.493995987415698e-17,3.233394183576775e-08,-4.5881570434029345e-12,-8.295432646545653e-16,4.846488812050234e-14,-9.685640455220406e-21,3.639277212977462e-13,9.478580376923217e-16,6.610478103862791e-21,-2.144923514280942e-18,4.56417096454791e-26,-1.9968125119402473e-18,-7.7428356614461e-21,-7.05686291888911e-25,-5.75708417327947e-22,-4.4745474200700035e-30,-5.60705987745591e-22,8.372603642782601e-25,3.6632670667463734e-30,4.17826263436681e-27,1.8072024315568861e-35,4.2353517622369484e-27,-4.193723319084851e-30,0.11533023263042393,2.94939576437364e-07,0.0,0.0,0.0
0.05,-0.00011641048571108422,0.004383808103635608,-3.3821869381791343e-07,-0.18683668754311508,-7.271639701388778e-05,6.95943922056296e-08,9.427353208715478e-06,5.830654434318864e-11,1.1454482931499902e-05,-8.016220225912426e-08,-4.879056930070488e-10,7.01955874099707e-10,-3.4026262348541256e-13,6.26819139357568e-09,5.677350126793959e-10,2.8842596839870417e-13,6.747893347052892e-13,9.934220438323966e-17,8.061062756196967e-13,-3.3783006386836087e-13,-1.5328657189225864e-15,-2.5306735771210546e-14,-4.86189284629885e-19,-2.4738112779503617e-14,1.8187636078032935e-15,3.9664920448540585e-19,9.198077841548838e-18,9.766286199229509e-23,9.217101211196832e-18,-4.544716273981991e-19,0.6684068812846432,0.00010369002915487677,0.0,0.0,0.0
1.0,-0.008638444394170323,0.010706997823217353,-0.00046843604542636045,-0.7585461326840041,-0.004711999667191463,0.00010016670457738884,0.0008756430103109161,1.6316779037239173e-06,0.0010544747501494093,-0.00011572074345959305,-1.2559509987653463e-05,-2.7591045592998316e-06,-1.6338579028147777e-07,6.852234305338044e-06,1.4761901818630357e-05,1.1091856785180646e-07,4.8098673010379156e-08,9.664984164238574e-10,5.253659352648792e-08,-1.2559095744289474e-07,-1.7577845796239486e-08,-5.504995960219635e-09,-1.292394534877115e-10,-5.131842291115482e-09,1.982762883958519e-08,1.1271411875955706e-10,3.778558423337576e-11,3.693908117684604e-13,3.8006722041168754e-11,-1.2528254280703415e-10,1.1238151126579259,0.008349235663597373,0.0,0.0,0.0
2.0,-0.02063744920641871,0.004980700314006142,-0.0021169025785262897,-0.9938779010910976,-0.010155335241457153,0.0004624127897436062,0.0025322063922562314,1.4543201593707777e-05,0.003031049086229484,-0.0005347656375613042,-0.00010363515857177269,-2.8693656566740803e-05,-2.624401443281883e-06,2.3783911126794887e-05,0.0001231609378362888,1.784968440686343e-06,6.766807974993989e-07,3.088161874782965e-08,7.240705032118675e-07,-2.0323657800545453e-06,-5.302160416979853e-07,-1.3483080189345455e-07,-7.871576822601584e-09,-1.2709539426837798e-07,5.991712905543335e-07,6.891922472660388e-09,1.6762869822165177e-09,7.141751976908086e-11,1.6853403858282897e-09,-7.664768059096827e-09,1.120331049693044,0.021304012391302633,0.0,0.0,0.0
5.0,-0.05483881491527681,-0.02376926485399439,-0.012401418677990122,-1.3462768822927056,-0.022032723670327086,0.0027892809616558148,0.010148719313696054,0.0001948099651511425,0.012040429343397921,-0.0032003784658311265,-0.0011646116403144138,-0.00039365963698224726,-6.762072536739772e-05,7.655337724387939e-05,0.0014299145878499879,4.54379051517441e-05,1.755631553646562e-05,1.8785542286563225e-06,1.8552986055768658e-05,-5.266382156838312e-05,-2.7178855567889315e-05,-6.712842572982537e-06,-9.99866017434622e-07,-6.338196718190237e-06,3.103012936605359e-05,8.815871295858394e-07,1.8511400499518254e-07,2.3339464199157673e-08,1.861689064255015e-07,-9.850982815647617e-07,1.0455376089068,0.06390991686559797,0.0,0.0,0.0
8.0,-0.0823680632728807,-0.05401257870431149,-0.027059523028066166,-1.5385482044517829,-0.029056304416736855,0.006196452173673392,0.02012596324251092,0.0006141348155120007,0.023787038385243833,-0.0069647750095184965,-0.003251593131249636,-0.001209428210221478,-0.00028205920227486816,0.0001819264286581321,0.004109342379773405,0.0001836234104529947,7.751828045059787e-05,1.1482280583806367e-05,8.197298805956779e-05,-0.00021632099238560706,-0.00014350308585727383,-3.828352777248543e-05,-8.047784658717115e-06,-3.579345603161608e-05,0.00016627285591731272,7.07082118642817e-06,1.5653047239383623e-06,2.9497837627471364e-07,1.5761246308941214e-06,-7.970303830684558e-06,0.9752740383329144,0.10149854633557664,0.0,0.0,0.0
11.0,-0.10452463876677906,-0.0821045119844985,-0.043545935633346244,1.468792286779236,0.033531049013529136,0.010157280724199289,0.03137282900925314,0.0012317066220943209,0.036995920002522095,-0.01108189051999678,-0.005949672503464521,-0.0023647531816264563,-0.0006754235070229442,0.0004690901428651818,0.007712279167402848,0.0004223468041163866,0.00019492691308386635,3.446350144312226e-05,0.00020673974568811312,-0.0005043737851897699,-0.0003836472753694406,-0.00010987620320677834,-2.7931013950881683e-05,-0.00010138414480093186,0.00045138827474833486,2.4205302533921583e-05,5.7521209123390495e-06,1.3377018328781269e-06,5.801211494741739e-06,-2.757472189404089e-05,0.9146165369047697,0.13132455830903353,0.0,0.0,0.0
14.0,-0.12285749136290482,-0.10771323480050442,-0.06070740086951082,1.3645820881748159,0.03659552995542582,0.014457296581076633,0.043280262799561396,0.0019936677486544208,0.0509469729461776,-0.015208296467033044,-0.008947245974551576,-0.0037419555776529584,-0.0012458062578552306,0.0010390190177282277,0.01186353192163714,0.0007463093687311877,0.0003747046579522682,7.394432393359236e-05,0.0003987531580401879,-0.0009012702387095515,-0.0007495453393607947,-0.0002280264775603654,-6.600824594584168e-05,-0.00020734693667295357,0.0008946027010034621,5.60645678537834e-05,1.4213319752660257e-05,3.78112267283621e-06,1.4360861574542587e-05,-6.454314447118768e-05,0.861278397343676,0.15382914057237393,0.0,0.0,0.0
17.0,-0.13844250244177803,-0.13101815906430314,-0.07799437269720236,1.2787765660689967,0.03881741126332223,0.01900583420523175,0.05546437542719606,0.0028559705483375115,0.0651816915675319,-0.019182569369022403,-0.01205521498522723,-0.005252576207904492,-0.001980593709952209,0.0019529037991430807,0.016315618616014705,0.0011368693648322345,0.000617544086804407,0.00013098931347088277,0.0006592909716005756,-0.001385422377619006,-0.0012268844707710674,-0.00039347453670933496,-0.00012564784561536557,-0.0003523357076367926,0.0014838323503110916,0.00010428156228573315,2.8017056157579898e-05,8.213832835757069e-06,2.836312633152217e-05,-0.00012122394368321435,0.8134998507546671,0.1700833811875212,0.0,0.0,0.0
20.0,-0.15200484240220258,-0.15226831400452098,-0.09513534677362556,1.205434954020872,0.040499474337134134,0.023761419878471753,0.06766706494873008,0.0037859408850134256,0.0793903247171902,-0.022928860614478717,-0.01516356849707634,-0.006834701403213783,-0.0028644919446795545,0.0032441240078715573,0.020911328919986073,0.0015773452456316905,0.0009223410179847576,0.00020542409670778932,0.0009877056378298948,-0.0019366500286389886,-0.001797168078883357,-0.0006038934495589714,-0.0002084822892999708,-0.0005322506199915386,0.002199995881021538,0.0001688641677671211,4.784332886017466e-05,1.5107689122707973e-05,4.8532143197147034e-05,-0.0001980605571413958,0.7700842410644594,0.18117809521283607,0.0,0.0,0.0
