Ecms,Cross_sig20,Cross_sig21,Cross_sig22,Cross_sig23,Cross_sig24,Cross_sig25,Cross_sig26,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
0.5,1.7054792688347962,2.2941936195230994e-06,1.2509726587950354e-10,0.0,0.0,0.0,1.5584688472093147,-0.003357023177572341,0.010662863390779426,-9.411574939381824e-05,-0.5621723029013588,-0.0019540742332382053,1.9792506511625014e-05,0.00030428649209421886,1.6368774801021404e-07,0.0003679602142263758,-2.2832636634203052e-05,-1.3152508363589189e-06,-1.6525211042815838e-07,-8.654112506234151e-09,1.5649906659322542e-06,1.5376791641266762e-06,5.863027724546259e-09,3.3359347858194334e-09,2.5617914482452048e-11,3.741701426249458e-09,-6.630601894739506e-09,-4.786522449742065e-10,-2.138645444408611e-10,-1.74717521784817e-12,-1.9743320833904908e-10,5.395987622846436e-10,1.520535538012469e-12,8.101430222492878e-13,3.841759862978314e-15,8.141322941738173e-13,-1.6898969501652889e-12,1.0816558701614885,0.0031166705350648785,0.0,0.0,-0.0
1.0,2.8402098822373514,1.915485045911325e-05,9.074081042115267e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.6264819016654704,-0.008638429952884531,0.010706998089096679,-0.0004684274649601277,-0.7585407027663029,-0.00471190722629813,0.00010018170171733666,0.0008756437441611958,1.6316312632707176e-06,0.0010544728555584033,-0.00011572155570274425,-1.2559399474636638e-05,-2.7586529759601615e-06,-1.6338725432688563e-07,6.851423157152691e-06,1.4762033484455887e-05,1.1088468933116699e-07,4.8109114301619076e-08,9.67607578406748e-10,5.256208751850936e-08,-1.2573506131415376e-07,-1.7577702722666304e-08,-5.483352259185238e-09,-1.2924069236726155e-10,-5.131854149623885e-09,1.9827819087852496e-08,1.1271429602493638e-10,3.78409749465965e-11,5.748740097413402e-13,3.8006900968774805e-11,-1.2528261557978415e-10,1.123824402185725,0.008349224666677637,0.0,0.0,-0.0
5.0,5.725153548717106,0.0027625577675527424,7.855332227579837e-05,1.486828140606633e-07,6.050508050137182e-08,7.248202038567797e-11,1.5053132093282402,-0.05483871707392031,-0.02376925324621914,-0.012401425986142814,-1.3462525966834464,-0.022032781202627784,0.00278976461003909,0.010148772541564854,0.00019481096570994662,0.012040164826931718,-0.003200413031598152,-0.0011645673075405228,-0.0003936548613413905,-6.76213173294859e-05,7.650388423054106e-05,0.0014299279714892693,4.541645257604142e-05,1.7402407729369033e-05,1.8785406749543156e-06,1.8553000628471904e-05,-5.2663439752533e-05,-2.717850166189063e-05,-6.679831182714873e-06,-9.998809607807403e-07,-6.338240567629934e-06,3.103059384976427e-05,8.815893311587472e-07,1.8544157877023809e-07,2.3339486584708624e-08,1.8616903290476143e-07,-9.850992254536697e-07,1.0455567352183257,0.06391005066057487,0.0,0.0,-0.0
12.0,6.022182178298188,0.034197891113820766,0.0030903130340442786,2.136534087249231e-05,2.109372798786424e-05,1.0624571000761307e-07,1.2584138585733968,-0.11099791718009876,-0.09091099717648603,-0.04922672710336298,1.4315094153320977,0.034674082119865245,0.011559271074445016,0.035291124619938635,0.0014720752045652601,0.04158996468366723,-0.012466954087485674,-0.00692694030275019,-0.002804118630803265,-0.0008463957387635379,0.0006237973351296776,0.009049614147613598,0.0005213428418040226,0.00024699956793536966,4.5703412280623445e-05,0.0002631490939679109,-0.0006256243494468216,-0.0004921374992000372,-0.0001429379979699249,-3.8395092251261664e-05,-0.00013220394024583606,0.0005819114814417347,3.3067282386106076e-05,8.055867740129802e-06,1.965706057750082e-06,8.109530515656563e-06,-3.78048162436733e-05,0.8961489835411731,0.1395913825454393,0.0,0.0,-0.0
15.0,5.876302078845589,0.06140856351763091,0.0066688745455105725,6.145252269451618e-05,7.186191344921156e-05,4.893441376552232e-07,1.1692730416068988,-0.12831540806568845,-0.11572465015300051,-0.06647311125091232,1.3343441489010515,0.03741194154685971,0.015949021949968886,0.04732598683786705,0.002271772179471291,0.05567742867222003,-0.016555136310448616,-0.009977562571637868,-0.004234146085424519,-0.0014731953881784118,0.0013031326709999817,0.013323400225697977,0.0008692489705843735,0.00044700896854319865,9.099663677068399e-05,0.00047799400529982355,-0.0010540002686225695,-0.0008971433615601954,-0.000277851809776035,-8.338266788630381e-05,-0.00025150865714843084,0.0010756856372646146,7.029322281168434e-05,1.822389588441765e-05,5.011516696861907e-06,1.838061385557447e-05,-8.119344762703126e-05,0.8448277674107868,0.159886977692543,0.0,0.0,-0.0
25.0,5.245410608331327,0.2078808607534688,0.030781962709873323,0.0005154434151579679,0.000807855490236431,1.0085380345525863e-05,0.912340502199513,-0.17139877894570796,-0.18372436684996415,-0.12304620357971023,1.1021942939329443,0.0425383047045236,0.03209304061647113,0.08758307056606354,0.005425010123052848,0.10245715421923426,-0.02858687502406185,-0.020188745022265017,-0.009521538753956013,-0.004628075529705878,0.006272698784678013,0.028638242292256234,0.0023892529995035478,0.0015624975539435505,0.0003657165696317077,0.0016821556912987121,-0.00295993995634465,-0.0029045444405529993,-0.0010438838234051687,-0.00039915375494411473,-0.0008956601461527728,0.0036216902579539307,0.0003102567938165618,9.574562779418602e-05,3.2922827044905116e-05,9.690753299841572e-05,-0.0003687812598658369,0.7052919052303571,0.19071738698375587,0.0,0.0,-0.0
30.0,4.943720639636799,0.30592868352059543,0.04967230539522349,0.0010112117039398072,0.0016959592894330022,2.5589802751024848e-05,0.801031443376182,-0.18800497263056745,-0.21094851376765486,-0.1499555946369076,1.0152857453373434,0.04395029680391624,0.040878947874126506,0.10653384333358938,0.007116885478645449,0.12424091119266728,-0.03349556612573833,-0.02491651330619725,-0.012173461812668956,-0.006701610250270213,0.010407779839485315,0.03624559790622921,0.0032686683370832556,0.0023653440303124814,0.0005665008557207936,0.00255461265339797,-0.004065266256616844,-0.00414238211324335,-0.0015775772302830595,-0.0006539591105738321,-0.0013177173842546335,0.005257266804753425,0.00048824460798427575,0.00016135983203939533,5.933736782455663e-05,0.00016430030014545917,-0.0005870660419079292,0.6477975400264911,0.19192736652837322,0.0,0.0,-0.0
40.0,4.42794214694278,0.5284250363649812,0.10013996778600287,0.0027317141876697093,0.00485962723055966,9.633633780703477e-05,0.6071820042909017,-0.2160984190432522,-0.25505881878373343,-0.20072847821106668,0.8728995307155722,0.04557141532301607,0.05958806859969224,0.14050122652014072,0.010502430655561178,0.16277796228018046,-0.04124184343587448,-0.03336259525305985,-0.017152538860142612,-0.01158120277039327,0.021907755971368348,0.050693056630206304,0.005128016611662982,0.004450553057716487,0.0010672104243767396,0.004812197389556179,-0.006378287131684101,-0.006826534570416861,-0.0028534713154460085,-0.0013390460644540389,-0.0022564257942371767,0.008923845487279118,0.0009268144728903604,0.0003471746125361663,0.00013861038281252907,0.00035532733295218596,-0.0011358461419376244,0.5488204743076972,0.17825474809598427,0.0,0.0,-0.0
55.0,3.869960945849284,0.8733773403646783,0.20773927020042926,0.006198456842087197,0.01622843474691482,0.0003279496953303429,0.38146955491239876,-0.2513985105882478,-0.30104853195041453,-0.270298335872253,0.7068342357489228,0.045838598498246175,0.08957893785342838,0.1806086687828513,0.01528611913168554,0.20713900119527984,-0.04869316638870322,-0.043744471274615164,-0.023545927979978534,-0.020224241747830315,0.04665191975543197,0.07010506418335548,0.0022303175230317007,0.007292044566596925,0.0019988660337427852,0.009437471235912064,-0.00982776396984697,-0.015738335348381025,-0.005297830402190212,-0.002732201227535636,-0.00368771612345338,0.014847442544964987,0.0014813302811057096,0.0007371155833022584,0.00031896528315020217,0.0007726798268555893,-0.0021421079054316514,0.42808267850342097,0.13608145710758135,0.0,0.0,-0.0
65.0,3.6182305183636148,1.0844307723598168,0.30336654881056413,0.01297811790789094,0.021515655612289297,0.0006361271277524061,0.26941240277766454,-0.27259503100989557,-0.3211677968644479,-0.3131573560860953,0.6158783685970416,0.04476779243329143,0.1101146185986989,0.20053462779893005,0.01812957002866126,0.2284996678442371,-0.05161223597138836,-0.049436098208265056,-0.027058493575653812,-0.02661521927017871,0.06765636562041531,0.08159658236961286,0.009963614706015478,0.012157283116137894,0.0027035602368398618,0.013338036789704459,-0.012016666924652121,-0.013728117789058435,-0.006661563201454953,-0.003853194350660575,-0.004552569820029227,0.018837430195616497,0.002278481472354172,0.0010876535038568723,0.00047445605744110824,0.0011298540575993945,-0.0028801276796015665,0.36063708610978956,0.10111116866097725,0.0,0.0,-0.0
