Ecms,Cross_sig20e_1,Cross_sig20e_2,Cross_sig20e_3,Cross_sig20e_4,Cross_sig20e_5,Cross_sig20e_6,Cross_sig20e_7,Cross_sig20e_8,Cross_sig20e_9,Cross_sig20e_10,Cross_sig21e_1,Cross_sig21e_2,Cross_sig21e_3,Cross_sig21e_4,Cross_sig21e_5,Cross_sig21e_6,Cross_sig21e_7,Cross_sig21e_8,Cross_sig21e_9,Cross_sig21e_10,Cross_sig22e_1,Cross_sig22e_2,Cross_sig22e_3,Cross_sig22e_4,Cross_sig22e_5,Cross_sig22e_6,Cross_sig22e_7,Cross_sig22e_8,Cross_sig22e_9,Cross_sig22e_10,Cross_sig23e_1,Cross_sig23e_2,Cross_sig23e_3,Cross_sig23e_4,Cross_sig23e_5,Cross_sig23e_6,Cross_sig23e_7,Cross_sig23e_8,Cross_sig23e_9,Cross_sig23e_10,Cross_sig24e_1,Cross_sig24e_2,Cross_sig24e_3,Cross_sig24e_4,Cross_sig24e_5,Cross_sig24e_6,Cross_sig24e_7,Cross_sig24e_8,Cross_sig24e_9,Cross_sig24e_10,Cross_sig25e_1,Cross_sig25e_2,Cross_sig25e_3,Cross_sig25e_4,Cross_sig25e_5,Cross_sig25e_6,Cross_sig25e_7,Cross_sig25e_8,Cross_sig25e_9,Cross_sig25e_10,Cross_sig26e_1,Cross_sig26e_2,Cross_sig26e_3,Cross_sig26e_4,Cross_sig26e_5,Cross_sig26e_6,Cross_sig26e_7,Cross_sig26e_8,Cross_sig26e_9,Cross_sig26e_10
0.5,5.224367512536281,0.7561152500555357,0.5620980718639332,0.4766119225148522,2.296849439392889,5.644906780210998,3.3947968964079265,5.296121862921661,2.9260782607443945,1.581111376901434,1.402160973995592e-06,2.888533117140213e-06,5.779290748186838e-06,2.6893456528398474e-06,1.0011917161989459e-06,2.6701796129735555e-06,3.266344048569181e-06,1.1036497338245965e-06,3.0597769629103766e-06,1.830449560813463e-06,1.1529266430443386e-10,1.2175860319985077e-10,1.3597123427189217e-10,1.3557333033986652e-10,1.2583090125417584e-10,1.2454393072403036e-10,1.2625056555748415e-10,1.202695720792235e-10,1.254516490689639e-10,1.2926282266789713e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9003603567017175,0.321616553830673,0.7014723053869885,1.6262218160638544,0.3385973777049358,0.13637625100994377,1.0574631953424967,0.1845178970942558,1.0944767780284774,1.1642841352123665
1.0,5.7867774883168925,1.4095674663944324,1.068004071345186,0.9145812034074061,3.578559290814459,5.9589655312034395,4.637802775775278,5.833494401720188,4.219332926506113,2.6783232157488235,1.1889271616105646e-05,2.399987517165414e-05,4.750214983140211e-05,2.2381127038340054e-05,8.610333659397895e-06,2.219366266320577e-05,2.7055009226284454e-05,9.447012689900447e-06,2.5400612770898334e-05,1.538097364139901e-05,8.867506728904573e-09,8.993996658546166e-09,9.325724192876805e-09,9.33477339870592e-09,9.11059494512756e-09,9.065557193821405e-09,9.086388086387842e-09,8.974424758889654e-09,9.057586680683016e-09,9.170407988534635e-09,8.79296635503124e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8771633540421613,0.5828480883385159,1.1071875468389205,1.8771638825577361,0.5047848997641697,0.22610753606127698,1.2419002819880731,0.2968727728698495,1.5086386274543133,1.323029706957369
5.0,5.799456373510931,4.519145846645155,3.766650185791258,3.420948337604953,6.02786226248673,5.660156637213832,6.017435265784529,5.738969130806442,6.020685413984972,5.683494085772928,0.0018185291589056796,0.0034073450940153016,0.00651236110537079,0.0031976117331677933,0.0013922794938281413,0.003135942897922739,0.0037871197227734577,0.0014975791967364316,0.0035968964779575785,0.002275667548112814,7.872101647254937e-05,7.851236519407223e-05,7.859145639388387e-05,7.878915706704959e-05,7.876495837777497e-05,7.859288735589942e-05,7.839865914993638e-05,7.866719794202837e-05,7.829321476027218e-05,7.857453843884699e-05,1.4862255426351112e-07,1.4865861341917253e-07,1.4906069578657366e-07,1.487490610685427e-07,1.4871411302408433e-07,1.4906605549924734e-07,1.4900948475116138e-07,1.4865068775904433e-07,1.4886584365214617e-07,1.488009995220807e-07,6.051500189840908e-08,6.051474787938105e-08,6.051438150578292e-08,6.051449386035301e-08,6.05146599497175e-08,6.051461109990441e-08,6.051447432042778e-08,6.05147771892689e-08,6.051444501053993e-08,6.051445966548386e-08,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,1.675809087090042,1.6161102978561592,1.9499970239558309,1.9445970275208175,0.7314018669997857,0.4386343898515159,1.2824681368601207,0.5214216135187595,2.0071438504052193,1.3020602027811226
12.0,5.117003017302661,6.354084903878526,5.664125744332601,5.444073941610789,5.973924873816287,4.955888473630671,5.496020887972881,4.988245643780742,5.615990383956255,6.088543532246633,0.022200986003382273,0.04287894258772296,0.08479505979882562,0.04017743271381713,0.016938960710373152,0.03850469393693379,0.047394240240790086,0.01813976751951607,0.045504246880021526,0.02806704319740616,0.003094660688601536,0.003085815126485869,0.0031000766228714838,0.0031125622230767647,0.003104137218984615,0.003092129322913806,0.0030806685941549006,0.0030949477135813197,0.0030741052135292435,0.0030947265753251685,2.1324097423836008e-05,2.1335164646973936e-05,2.1455140460258093e-05,2.1362220908205387e-05,2.1351683729076143e-05,2.1455895156563543e-05,2.1439554407809425e-05,2.133241597368496e-05,2.1396912785576205e-05,2.137772531796145e-05,2.110045808034755e-05,2.110021236578774e-05,2.1099831347015652e-05,2.109995728183378e-05,2.110012421141505e-05,2.1100066729839995e-05,2.1099915173294903e-05,2.1100244157246095e-05,2.109989630261211e-05,2.109991889076568e-05,1.0623691171218752e-07,1.0623691171218752e-07,1.06237113772778e-07,1.0623695789746535e-07,1.062369694437848e-07,1.0623714263857664e-07,1.0623710799961827e-07,1.0623693480482643e-07,1.0623702717538208e-07,1.0623700408274317e-07,1.4207331193994919,2.0420160687716824,1.9968322251457291,1.6900199068160462,0.6268266917063516,0.43701089939975146,1.069554922010215,0.4903656618879886,1.8677974231545633,1.0545158577892764
15.0,4.8675407492446015,6.629421622058273,5.986430779274851,5.843169232304046,5.789947059551926,4.731151312979096,5.231017978780396,4.736483072912619,5.355783869084611,5.959476462445863,0.039265951576819,0.07783934137451265,0.1571905993781586,0.07281564502283899,0.02968429148886731,0.06900657648288844,0.08591541569445749,0.03178824674661351,0.08287216538907405,0.05013470599814607,0.006665761382210533,0.00665221023267204,0.006713160359872461,0.006744920445992619,0.00670606954473385,0.006672610900508857,0.006645068633418294,0.006674081853085045,0.006627214960994721,0.006687397155618502,6.127692997814904e-05,6.132069340702984e-05,6.179237569625684e-05,6.142714003853911e-05,6.138561664581488e-05,6.179436175557385e-05,6.173061880065944e-05,6.130949300642285e-05,6.156322616091003e-05,6.148803944006076e-05,7.186651121804388e-05,7.186527006641796e-05,7.186333209174833e-05,7.186398598069133e-05,7.186482703280817e-05,7.186452199992033e-05,7.186374469192458e-05,7.186543124149125e-05,7.186364826239355e-05,7.186377888190876e-05,4.892996092742408e-07,4.892996092742408e-07,4.893011160689298e-07,4.892999729833036e-07,4.893000191685815e-07,4.893013296758397e-07,4.893010814299714e-07,4.892997189642756e-07,4.893004810213597e-07,4.893002731876095e-07,1.3315179160990729,2.07651298112941,1.947929929181814,1.5895283093396886,0.5713299771251625,0.4155373595262257,0.9855208546989047,0.4598343384779904,1.782717124208621,0.9612903513315909
25.0,4.19161070129769,6.782868578963457,6.206179945009726,6.26452628213778,5.202907484705225,4.209510985171361,4.47243436191857,4.1384896485051526,4.572334662540525,5.368134826231921,0.126070719406699,0.27363959927633186,0.5868642404837754,0.2545951760828524,0.0921579757274138,0.2313308010230175,0.2997602647339592,0.0985201595478502,0.2945426486178748,0.16685837297334194,0.03035983639287476,0.030509488004461183,0.03171084359376941,0.031915280738839424,0.03109966878384407,0.030788130843290684,0.030644569726613113,0.030621803371559952,0.030479805476101962,0.031126821708906682,0.0005109436341061979,0.0005118591351891411,0.000521554224620413,0.0005140301218435894,0.0005131460310789926,0.0005214921703466935,0.000520246270207636,0.0005115843620089322,0.0005168511657860364,0.0005152647970176893,0.0008079197041315211,0.0008078802742232938,0.0008078135653972751,0.0008078405427505153,0.0008078687254191586,0.0008078549778800515,0.0008078240542435111,0.0008078888527389694,0.000807822894172805,0.0008078326903238064,1.008251110823366e-05,1.0082507875264213e-05,1.0082640097941464e-05,1.0082536042510526e-05,1.0082540083722336e-05,1.0082654981147243e-05,1.0082640022890388e-05,1.008251344636335e-05,1.0082584970039221e-05,1.0082561276991697e-05,1.0754402697465504,1.9968698459170748,1.7332459276453451,1.290983734784903,0.39930493128845956,0.3278873944823606,0.7389037703967745,0.3513402282217104,1.5021970500146353,0.6939064552682739
30.0,3.919674154864152,6.666297445924276,6.079231131945266,6.204883574597238,4.974134524172261,4.043441547101201,4.169067832176791,3.9451130256245275,4.249572069120453,5.092881803637599,0.18113026356860518,0.41005004839649084,0.8978513526804277,0.3806282280429052,0.13044757330631818,0.3378630851181841,0.44651535406570186,0.13901328698885163,0.44357079166421176,0.24399737989796444,0.04843856566305682,0.04898115052718177,0.05217750083237149,0.05251472153117831,0.050326351729632623,0.04966611855007219,0.049457023080729634,0.049142866643425265,0.04909889925520705,0.050564422510135376,0.0009985348548253725,0.0010011086004340086,0.0010285381505572566,0.0010072568796717363,0.0010047699174275948,0.00102834985406286,0.0010248004396284927,0.001000336092456422,0.0010151882428299785,0.001010740569372448,0.0016961851720482812,0.0016960556896736811,0.0016958430722495699,0.0016959261031512796,0.0016960150088438652,0.0016959718514799604,0.001695878355995717,0.0016960777646550795,0.0016958698242683923,0.001695897601444507,2.558523192686124e-05,2.5585227573898806e-05,2.558580743583505e-05,2.5585364663349708e-05,2.558538734032112e-05,2.558588683410079e-05,2.5585797962079937e-05,2.558526865570343e-05,2.55855613895406e-05,2.558548134468097e-05,0.9639019702864697,1.908695001629662,1.6199583989764759,1.1583838375247586,0.3243211457517532,0.2833568870729062,0.6326422681396058,0.29920033475438634,1.3719666053247712,0.5806179135442404
40.0,3.4670107724183565,6.315162069160063,5.660934484893709,5.876960077691313,4.656075747032295,3.838101093174097,3.6869179554671394,3.7069974825707543,3.7287373791594867,4.656269206014761,0.30033899228131267,0.7325610108929048,1.6404843391422386,0.6773601519565364,0.2114516554719792,0.5716688848448914,0.7849017528024005,0.22252111663447538,0.7989046386975507,0.4183920389386886,0.09448278010429068,0.09732685284655851,0.11135082158398779,0.11174128764486246,0.1020864633259122,0.10005747233043483,0.09991789250913374,0.09742321091882333,0.09870872391023777,0.10384739712995295,0.002665754112000318,0.002678779165967704,0.00281735733501165,0.002709411219381508,0.0026963835643867284,0.0028149950359672715,0.0027979024876985115,0.0026743315126021017,0.002750045247323918,0.00272665796962146,0.004860863393872261,0.004860135988183245,0.004858841659832969,0.0048594287282059945,0.004859954428937829,0.004859630687470418,0.00485898825474651,0.004860323680810907,0.004858974642296676,0.004859240341705817,9.630557999962264e-05,9.630544510397243e-05,9.631154024436483e-05,9.63067683699137e-05,9.630696760742907e-05,9.63122219852508e-05,9.631151376865432e-05,9.630571674845712e-05,9.630899163681761e-05,9.630794268256082e-05,0.7673815580724792,1.7037128992452142,1.4032016274060979,0.9221230419962518,0.1993205502916111,0.20256987506296742,0.4515342836537548,0.20584075781300237,1.137948408187854,0.38975549893939565
55.0,2.9579575134227656,5.744743442687556,4.9516599343541605,5.2471444436441805,4.470908877716592,3.7402451937883234,3.1979901402214113,3.6082647859513592,3.1923811951407037,4.283846549782512,0.47476463534048996,1.2672223184604858,2.8267317193728236,1.1659421016014493,0.32983372252504584,0.9051062412902766,1.31360687167551,0.3346579374498715,1.3912677005276564,0.6931191466811515,0.18176483576164504,0.19549119299729245,0.2623349181723329,0.2595014167110712,0.21369527218343176,0.2075190759874439,0.20921187123680474,0.19410467130265774,0.20457067507492033,0.224009547088726,0.005810655018425592,0.00595224499996494,0.006669377562909862,0.006112886986190169,0.00598061570080155,0.006542777131067989,0.006580017854001419,0.005865320839111732,0.006348011641124085,0.006198092026865165,0.015865481205625365,0.016226863275011993,0.01622334895593447,0.016459107722396116,0.01628017209166721,0.01618576692255047,0.015948341841355518,0.016360455418298336,0.01627209543578223,0.016527139261647505,0.00033018886637714573,0.0003280454176555203,0.00032800471108895835,0.00032674335334315074,0.00032781605069498454,0.00032829613515783507,0.0003295629217001661,0.0003273679022144371,0.0003277151547180779,0.0003263710010923404,0.5321709174827287,1.3932244482994869,1.1205700343007168,0.6346199379409962,0.07408373038196459,0.11141821875469748,0.25213335574838025,0.09986080278138942,0.8545987171862506,0.18418128777160714
65.0,2.7118225709631303,5.403764837718228,4.526325747147658,4.861307346574764,4.497944830876968,3.7632007449495686,2.9849944965651765,3.6574477009925475,2.957331767634318,4.193783845736187,0.5775487838694771,1.618630217962569,3.5410564538174416,1.48410056485202,0.40319530607772824,1.0846117431511804,1.6337869042657482,0.39461226813939154,1.7781579356714072,0.8685346664984639,0.24860595735815183,0.27776041113495076,0.42496328412309214,0.4135421439251834,0.31350491260473623,0.3034200506536635,0.3088113594825872,0.27339423221605275,0.2994173453283038,0.3372458875029345,0.012068892087649274,0.012260994583903617,0.014273565998030424,0.012679003022726398,0.01246413754618736,0.014149933321098374,0.013961183695393231,0.01216991930093636,0.013313171195517448,0.012910817554524723,0.021530637156690347,0.021523034500404492,0.02149800122810941,0.021516258910431407,0.021525045818969968,0.021514311529373664,0.02149559172562654,0.021531565400931374,0.021499461322291857,0.021512763661905687,0.0006358017490755152,0.0006357844549866876,0.0006360876850921571,0.0006358291479777733,0.0006358263903702976,0.0006360843631294522,0.0006360941901961681,0.0006357679989874576,0.0006359720758655207,0.0006358769666729991,0.4105930431972835,1.2050296952016568,0.9637525679991668,0.4832062336744469,0.028735646844588736,0.0720754903675842,0.16165112370782264,0.05248792853760076,0.7076559014890957,0.0942774837435083
