Ecms,Cross_sig20e_0,Cross_sig20e_1,Cross_sig20e_2,Cross_sig20e_3,Cross_sig20e_4,Cross_sig20e_5,Cross_sig20e_6,Cross_sig20e_7,Cross_sig20e_8,Cross_sig20e_9,Cross_sig20e_10,Cross_sig21e_0,Cross_sig21e_1,Cross_sig21e_2,Cross_sig21e_3,Cross_sig21e_4,Cross_sig21e_5,Cross_sig21e_6,Cross_sig21e_7,Cross_sig21e_8,Cross_sig21e_9,Cross_sig21e_10,Cross_sig22e_0,Cross_sig22e_1,Cross_sig22e_2,Cross_sig22e_3,Cross_sig22e_4,Cross_sig22e_5,Cross_sig22e_6,Cross_sig22e_7,Cross_sig22e_8,Cross_sig22e_9,Cross_sig22e_10,Cross_sig23e_0,Cross_sig23e_1,Cross_sig23e_2,Cross_sig23e_3,Cross_sig23e_4,Cross_sig23e_5,Cross_sig23e_6,Cross_sig23e_7,Cross_sig23e_8,Cross_sig23e_9,Cross_sig23e_10,Cross_sig24e_0,Cross_sig24e_1,Cross_sig24e_2,Cross_sig24e_3,Cross_sig24e_4,Cross_sig24e_5,Cross_sig24e_6,Cross_sig24e_7,Cross_sig24e_8,Cross_sig24e_9,Cross_sig24e_10,Cross_sig25e_0,Cross_sig25e_1,Cross_sig25e_2,Cross_sig25e_3,Cross_sig25e_4,Cross_sig25e_5,Cross_sig25e_6,Cross_sig25e_7,Cross_sig25e_8,Cross_sig25e_9,Cross_sig25e_10,Cross_sig26e_0,Cross_sig26e_1,Cross_sig26e_2,Cross_sig26e_3,Cross_sig26e_4,Cross_sig26e_5,Cross_sig26e_6,Cross_sig26e_7,Cross_sig26e_8,Cross_sig26e_9,Cross_sig26e_10
0.001,0.004240545329394774,0.04771297482320058,0.0016309698861980415,0.001186322400410944,0.0009952383571985024,0.0063396613381456746,0.08286604522423513,0.012328858051840808,0.04973943259445557,0.009369445075340543,0.0038368963626020935,1.7763568394002505e-14,1.1102230246251565e-14,2.220446049250313e-14,4.440892098500626e-14,2.220446049250313e-14,6.661338147750939e-15,1.9984014443252818e-14,2.6645352591003757e-14,6.661338147750939e-15,2.220446049250313e-14,1.3322676295501878e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02648438858202562,0.36076452814892823,0.0007160605550260435,0.001897790397086041,0.011161684662166493,0.0010040327318159292,0.0003402381739237015,0.006513025124694316,0.00048079537315670606,0.003897180804610656,0.008550526556160065
0.05,0.20713732082501224,1.7731156314554366,0.08092318589603886,0.05899596659654627,0.04954699410866503,0.3057200425262483,2.5689809616324544,0.5713155486676018,1.8324955961614422,0.4426878131429217,0.1879528871285392,2.2009793987365356e-09,1.3274115140404774e-09,2.7829050175398606e-09,5.622668997062874e-09,2.587328129521893e-09,9.369016673588249e-10,2.571687307550974e-09,3.1555091872803587e-09,1.0366840719200354e-09,2.949962496501257e-09,1.7464518720089472e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681466272187665,1.7893322377663559,0.03541233151569401,0.0917447180637212,0.451773780040964,0.047976181336987445,0.01661524329005548,0.27124242003905996,0.02335888314335932,0.1811479821155917,0.34002070637298587
1.0,2.840242470952065,5.786802401157079,1.4095779649994844,1.0680127221721714,0.9145882249314989,3.578598624844352,5.958977745374455,4.637847614735188,5.8335165719021616,4.219377347040388,2.678353119024928,1.9154856543135423e-05,1.1889271376297472e-05,2.3999874454450065e-05,4.750214790627538e-05,2.2381126296711074e-05,8.610333495084888e-06,2.2193662099212474e-05,2.705500846911235e-05,9.447012516705655e-06,2.540061200928534e-05,1.5380973228396044e-05,9.074255125085529e-09,8.867506728904573e-09,8.993996658546166e-09,9.325724192876805e-09,9.33477339870592e-09,9.11059494512756e-09,9.065557193821405e-09,9.086388086387842e-09,8.974424758889654e-09,9.057586680683016e-09,9.170407988534635e-09,8.832934383917745e-13,8.79296635503124e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6264674186589132,1.877153053817676,0.5828541340550344,1.107200116725771,1.8771741751565605,0.5047799192014608,0.22610590645559947,1.2418865284397609,0.29687036373315,1.5086534626768224,1.3230154749330603
2.0,4.2180458728934624,5.999545854050163,2.480667222539455,1.9400821392507845,1.6911246364873884,4.9043818740478615,5.995525567499016,5.583625168720239,6.00960466849548,5.337280172635632,4.066649317494545,0.00016385266278451383,0.00010434924320845695,0.00020369211153781208,0.0003962305157534374,0.0001904690406684395,7.738981821825419e-05,0.00018838006292209997,0.00022839685465125825,8.423035895654962e-05,0.00021526924439463357,0.0001330038645486198,5.94627135530601e-07,5.923688286557649e-07,5.931536475323185e-07,5.987210602853565e-07,5.99908464682386e-07,5.963237015293998e-07,5.947165893083195e-07,5.939961189582732e-07,5.936807956352652e-07,5.929546769145588e-07,5.961990985348109e-07,2.2374102570665855e-10,2.234372686871211e-10,2.234932239275622e-10,2.241327123897463e-10,2.2363710883155363e-10,2.2358115359111252e-10,2.241407059955236e-10,2.240527763319733e-10,2.234852303217849e-10,2.2382096176443156e-10,2.2371704488932664e-10,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621788355661291,1.8224684441585541,0.9777533474951476,1.5432018364818703,1.992902762143217,0.6540419554250443,0.3324626146199434,1.3273341644380254,0.41954411029080774,1.834134719121597,1.3810210121821442
5.0,5.725219659611963,5.799401050469255,4.5192358579954,3.7667408536954854,3.4210332525638867,6.027892177635765,5.660083544618553,6.0174244707648405,5.73890397617549,6.020693312836142,5.683561605385715,0.0027625772433936824,0.001818528294488253,0.0034073428390613003,0.006512355104675294,0.0031976096648511643,0.0013922789099707344,0.003135940921685787,0.003787117098408288,0.0014975785487547633,0.003596894039443743,0.0022756663164003044,7.855440839188432e-05,7.872101798334086e-05,7.851236638156678e-05,7.859145677624468e-05,7.878915762038474e-05,7.876495936631756e-05,7.859288833511613e-05,7.839866006076335e-05,7.866719919791265e-05,7.829321573948889e-05,7.857453925641522e-05,1.4881546794853762e-07,1.4862267416759778e-07,1.486587293264563e-07,1.490607877130401e-07,1.4874917297902357e-07,1.4871424092177676e-07,1.4906616740972822e-07,1.490095806744307e-07,1.4865081165993388e-07,1.488659355786126e-07,1.4880111542936447e-07,6.051458179001656e-08,6.051497258852123e-08,6.05147185694932e-08,6.051435219589507e-08,6.051446455046516e-08,6.051463063982965e-08,6.051458179001656e-08,6.051444501053993e-08,6.051474787938105e-08,6.051441570065208e-08,6.0514430355596e-08,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,1.5052799845238884,1.6757773401668592,1.6161428952146983,1.9500136957622431,1.9445794996154504,0.7313841162034156,0.4386253038158108,1.2824367995880501,0.5214101473272876,2.007143541093561,1.3020286214270698
8.0,6.056260011830066,5.492500535435182,5.608108961922888,4.853818684110954,4.538215260298286,6.1409128839661244,5.323931340348593,5.846044649313427,5.3902362827502435,5.931162841546949,6.080361681437839,0.01106448577746777,0.0072902797449314605,0.01370522503397531,0.02643211986273153,0.012862866732872291,0.005605233926666564,0.012497795706414294,0.015181299482518451,0.006008318330161799,0.014490585748834217,0.009126139714219494,0.0006428994152813949,0.0006445283791398637,0.0006424921717824716,0.0006432906956050921,0.0006452924585484965,0.0006450074172068554,0.0006432593994940561,0.0006413037060171156,0.0006440553024882334,0.0006402949241861577,0.0006431409723850479,2.5230167115530833e-06,2.5186327223813976e-06,2.519464345152045e-06,2.528603270768315e-06,2.521523521981095e-06,2.5207261158399774e-06,2.5286958447168217e-06,2.5274294377375384e-06,2.519270584144806e-06,2.5241713879076144e-06,2.5227053925824805e-06,1.7313565936483144e-06,1.7313743114755198e-06,1.7313631248683237e-06,1.7313460909385014e-06,1.7313514448780154e-06,1.7313589921741368e-06,1.7313566473831088e-06,1.7313500966231743e-06,1.7313644242733517e-06,1.731349158706763e-06,1.731349837719165e-06,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,4.73380623589037e-09,1.3912231702851137,1.5555140615520608,1.892262917320497,2.0212518826062515,1.8339237766894816,0.6975689839519279,0.4530744989793982,1.1898157252983745,0.521967897517146,1.9696546255980647,1.1912210495895899
11.0,6.0549419816288745,5.206024246864833,6.217763169528651,5.510527678116968,5.264694977114635,6.028936938877136,5.03983111750436,5.585892452177722,5.0811982077522995,5.701256500926845,6.113622717374762,0.02701959353716088,0.017620908705815452,0.03376374160489748,0.06631474810703253,0.03165231786927958,0.013479749785072492,0.030442916590522895,0.037336339514066896,0.014436375590611839,0.03579456175137441,0.02221079169056228,0.0022487155005963544,0.0022528325334820742,0.0022460319034514065,0.002253884557563257,0.0022624318499806506,0.002258020626686008,0.0022500263980100854,0.002242040720280336,0.0022524017279650366,0.0022376229797886893,0.0022511459775027554,1.3843586393225138e-05,1.3810167541539187e-05,1.3816578721126405e-05,1.3886280137764828e-05,1.3832295564952801e-05,1.3826184049658963e-05,1.3886781860428243e-05,1.3877250628624438e-05,1.3815009468398642e-05,1.3852458500274167e-05,1.3841306153228317e-05,1.2712031374650934e-05,1.2712236128642473e-05,1.2712107448464849e-05,1.2711908761620094e-05,1.2711973648826813e-05,1.2712060953212756e-05,1.2712031609130037e-05,1.2711953190525094e-05,1.271212369591268e-05,1.2711943117693636e-05,1.2711953972122103e-05,5.655409784921517e-08,5.655405743709707e-08,5.655405743709707e-08,5.655414980765272e-08,5.6554080529735984e-08,5.6554080529735984e-08,5.6554161353972177e-08,5.655414980765272e-08,5.655406898341653e-08,5.6554109395534624e-08,5.655409784921517e-08,1.2898639747716563,1.4523826230037584,2.018692278008289,2.0089444765300337,1.7248843483207885,0.6452366713710562,0.442850313772285,1.0987124448179175,0.4996823771134826,1.8952158389624403,1.0872431672442775
14.0,5.930602918103043,4.9476589490027685,6.556598414338586,5.899153730421626,5.730750936414729,5.852842952593048,4.8016029106444895,5.317844576169347,4.815855699263016,5.442208547465886,6.008936585359056,0.051396820431948154,0.03303690439234286,0.06490833729781986,0.13016549633963148,0.06075330214587282,0.025056137510184318,0.057795353368468305,0.07167769102080834,0.026831806076281772,0.06902933018793522,0.042037450105809615,0.00529420732631003,0.0052955346671472725,0.005283001163393308,0.005322349724163011,0.005346294097451132,0.005321656041234135,0.005297210632565275,0.005276038926595561,0.005299834246656143,0.005262907852059406,0.005306205051943902,4.4755710473687316e-05,4.460720947419006e-05,4.463594298176332e-05,4.494600977000829e-05,4.4705884070683766e-05,4.467857906842454e-05,4.494746202432509e-05,4.490550979063812e-05,4.4628629611853654e-05,4.479545274715946e-05,4.474592196768157e-05,4.9759413143668496e-05,4.9760621697814145e-05,4.9759865248688584e-05,4.975868434353714e-05,4.975908224480463e-05,4.975959656983164e-05,4.975941193219313e-05,4.975893696057554e-05,4.975996595746324e-05,4.9758879928418764e-05,4.97589589234515e-05,3.093329299375114e-07,3.0933255468212906e-07,3.093325604552888e-07,3.093333686976507e-07,3.093327451964001e-07,3.093327740621987e-07,3.093334726145258e-07,3.093333456050118e-07,3.093326066405666e-07,3.0933302230806703e-07,3.0933290684487247e-07,1.19813328007307,1.3603363870054368,2.0699350816502156,1.9657969120973533,1.6222955923890279,0.5897425439348525,0.42318825809610283,1.0129140136599073,0.47029457122597584,1.8112814800410248,0.991528652785985
17.0,5.757210830613509,4.714715487674388,6.731491152759669,6.113213203745056,6.017988098589837,5.6630726748849884,4.601395707541127,5.062370999086105,4.589396896745972,5.185498284798636,5.848713962527961,0.08417841510576896,0.053252823970242336,0.10751055383201091,0.22009385960244154,0.10045785081606917,0.039988463859228496,0.0944571008794437,0.11853641184078834,0.042822101677724156,0.1147165861037669,0.06847416425105113,0.009981923133222548,0.009959648010791966,0.009947880151962352,0.010079501570309457,0.01013170169140798,0.01004574489395349,0.009987037916236119,0.009943537982116002,0.009982335655395858,0.009912511907492316,0.010021362061341854,0.0001073599363330402,0.00010688053680896203,0.00010697379158486342,0.00010797612135204915,0.00010720003709518977,0.00010711164311505428,0.00010797905231951788,0.00010784421244025566,0.0001069494876699828,0.00010748887232292503,0.0001073293192561664,0.00013647717201292764,0.00013648198333848782,0.00013647898122925994,0.00013647427509200227,0.0001364758842439251,0.00013647791477433557,0.00013647715341091882,0.00013647525597182408,0.00013647937173466573,0.00013647501931401962,0.00013647536174632435,1.0899725855217923e-06,1.0899704436795332e-06,1.0899704379063735e-06,1.0899750102488781e-06,1.0899715405798815e-06,1.0899717080015137e-06,1.089975668389087e-06,1.0899749178783225e-06,1.0899707958422766e-06,1.0899730762403692e-06,1.089972464285438e-06,1.113474750682844,1.275884426419593,2.078494389901791,1.9088774107642963,1.5256577135415959,0.5349237560239639,0.3991696058507883,0.9322367791744872,0.43836302209536715,1.7252919089450116,0.9028566747253302
20.0,5.566161527148715,4.503533984659063,6.80263119090173,6.210135904896044,6.179867350003498,5.4787543390767794,4.432862689938077,4.825131956641662,4.396622357925055,4.9416779074712895,5.668784744393293,0.12484926249912487,0.07771429665363261,0.16128549857453045,0.33658053601992144,0.1504525946887858,0.057759557559169394,0.13973025588513988,0.17747265118397415,0.06183680594393781,0.1726721391381325,0.10101548655979009,0.016376943856804438,0.016283948671508064,0.016293419086875538,0.016636698331292887,0.01673283996817787,0.016503870732425874,0.016383797893379626,0.016308483037581922,0.016352826302065804,0.016245430411414574,0.016478064473866016,0.00021343859092537443,0.00021218101205633388,0.00021242836859158842,0.00021506542191129796,0.0002130214643001338,0.00021278511804156963,0.00021506206775434578,0.00021471489459212734,0.00021235932571217475,0.0002137852520611716,0.00021335982324099945,0.0002992263431007558,0.00029924100073630555,0.00029923191709402275,0.00029921718589553947,0.00029922265050918995,0.0002992289685730398,0.0002992262888237285,0.00029921991362025224,0.0002992334858031853,0.00029921941517629946,0.0002992209949010949,2.9079354111338773e-06,2.9079267283016463e-06,2.9079264685094586e-06,2.9079458778724643e-06,2.907930833018213e-06,2.9079314565194636e-06,2.9079483141458695e-06,2.907945693131353e-06,2.9079275769561264e-06,2.907937731944088e-06,2.907934631757314e-06,1.034312742200128,1.1970549742880383,2.06084154080861,1.8452684507488302,1.4340615215701118,0.48200503403897077,0.37303243428760213,0.856192235805759,0.40560905616601683,1.6399400939043947,0.8201637191148601
