Ecms,Cross_sig20e_0,Cross_sig21e_0,Cross_sig22e_0,Cross_sig23e_0,Cross_sig24e_0,Cross_sig25e_0,Cross_sig26e_0,Cross_sig20e_1,Cross_sig21e_1,Cross_sig22e_1,Cross_sig23e_1,Cross_sig24e_1,Cross_sig25e_1,Cross_sig26e_1,Cross_sig20e_2,Cross_sig21e_2,Cross_sig22e_2,Cross_sig23e_2,Cross_sig24e_2,Cross_sig25e_2,Cross_sig26e_2,Cross_sig20e_3,Cross_sig21e_3,Cross_sig22e_3,Cross_sig23e_3,Cross_sig24e_3,Cross_sig25e_3,Cross_sig26e_3,Cross_sig20e_4,Cross_sig21e_4,Cross_sig22e_4,Cross_sig23e_4,Cross_sig24e_4,Cross_sig25e_4,Cross_sig26e_4,Cross_sig20e_5,Cross_sig21e_5,Cross_sig22e_5,Cross_sig23e_5,Cross_sig24e_5,Cross_sig25e_5,Cross_sig26e_5,Cross_sig20e_6,Cross_sig21e_6,Cross_sig22e_6,Cross_sig23e_6,Cross_sig24e_6,Cross_sig25e_6,Cross_sig26e_6,Cross_sig20e_7,Cross_sig21e_7,Cross_sig22e_7,Cross_sig23e_7,Cross_sig24e_7,Cross_sig25e_7,Cross_sig26e_7,Cross_sig20e_8,Cross_sig21e_8,Cross_sig22e_8,Cross_sig23e_8,Cross_sig24e_8,Cross_sig25e_8,Cross_sig26e_8,Cross_sig20e_9,Cross_sig21e_9,Cross_sig22e_9,Cross_sig23e_9,Cross_sig24e_9,Cross_sig25e_9,Cross_sig26e_9,Cross_sig20e_10,Cross_sig21e_10,Cross_sig22e_10,Cross_sig23e_10,Cross_sig24e_10,Cross_sig25e_10,Cross_sig26e_10
0.001,0.004240545329394774,1.7763568394002505e-14,0.0,0.0,0.0,0.0,0.02648438858202562,0.04771297482320058,1.1102230246251565e-14,0.0,0.0,0.0,0.0,0.36076452814892823,0.0016309698861980415,2.220446049250313e-14,0.0,0.0,0.0,0.0,0.0007160605550260435,0.001186322400410944,4.440892098500626e-14,0.0,0.0,0.0,0.0,0.001897790397086041,0.0009952383571985024,2.220446049250313e-14,0.0,0.0,0.0,0.0,0.011161684662166493,0.0063396613381456746,6.661338147750939e-15,0.0,0.0,0.0,0.0,0.0010040327318159292,0.08286604522423513,1.9984014443252818e-14,0.0,0.0,0.0,0.0,0.0003402381739237015,0.012328858051840808,2.6645352591003757e-14,0.0,0.0,0.0,0.0,0.006513025124694316,0.04973943259445557,6.661338147750939e-15,0.0,0.0,0.0,0.0,0.00048079537315670606,0.009369445075340543,2.220446049250313e-14,0.0,0.0,0.0,0.0,0.003897180804610656,0.0038368963626020935,1.3322676295501878e-14,0.0,0.0,0.0,0.0,0.008550526556160065
0.05,0.20713732082501224,2.2009793987365356e-09,0.0,0.0,0.0,0.0,0.7681466272187665,1.7731156314554366,1.3274115140404774e-09,0.0,0.0,0.0,0.0,1.7893322377663559,0.08092318589603886,2.7829050175398606e-09,0.0,0.0,0.0,0.0,0.03541233151569401,0.05899596659654627,5.622668997062874e-09,0.0,0.0,0.0,0.0,0.0917447180637212,0.04954699410866503,2.587328129521893e-09,0.0,0.0,0.0,0.0,0.451773780040964,0.3057200425262483,9.369016673588249e-10,0.0,0.0,0.0,0.0,0.047976181336987445,2.5689809616324544,2.571687307550974e-09,0.0,0.0,0.0,0.0,0.01661524329005548,0.5713155486676018,3.1555091872803587e-09,0.0,0.0,0.0,0.0,0.27124242003905996,1.8324955961614422,1.0366840719200354e-09,0.0,0.0,0.0,0.0,0.02335888314335932,0.4426878131429217,2.949962496501257e-09,0.0,0.0,0.0,0.0,0.1811479821155917,0.1879528871285392,1.7464518720089472e-09,0.0,0.0,0.0,0.0,0.34002070637298587
1.0,2.840242470952065,1.9154856543135423e-05,9.074255125085529e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.6264674186589132,5.786802401157079,1.1889271376297472e-05,8.867506728904573e-09,8.79296635503124e-13,2.930988785010413e-14,0.0,1.877153053817676,1.4095779649994844,2.3999874454450065e-05,8.993996658546166e-09,8.79296635503124e-13,2.930988785010413e-14,0.0,0.5828541340550344,1.0680127221721714,4.750214790627538e-05,9.325724192876805e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.107200116725771,0.9145882249314989,2.2381126296711074e-05,9.33477339870592e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.8771741751565605,3.578598624844352,8.610333495084888e-06,9.11059494512756e-09,8.79296635503124e-13,2.930988785010413e-14,0.0,0.5047799192014608,5.958977745374455,2.2193662099212474e-05,9.065557193821405e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,0.22610590645559947,4.637847614735188,2.705500846911235e-05,9.086388086387842e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.2418865284397609,5.8335165719021616,9.447012516705655e-06,8.974424758889654e-09,8.79296635503124e-13,2.930988785010413e-14,0.0,0.29687036373315,4.219377347040388,2.540061200928534e-05,9.057586680683016e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.5086534626768224,2.678353119024928,1.5380973228396044e-05,9.170407988534635e-09,8.832934383917745e-13,2.930988785010413e-14,0.0,1.3230154749330603
2.0,4.2180458728934624,0.00016385266278451383,5.94627135530601e-07,2.2374102570665855e-10,2.2739587990372456e-11,0.0,1.621788355661291,5.999545854050163,0.00010434924320845695,5.923688286557649e-07,2.234372686871211e-10,2.2739587990372456e-11,0.0,1.8224684441585541,2.480667222539455,0.00020369211153781208,5.931536475323185e-07,2.234932239275622e-10,2.2739587990372456e-11,0.0,0.9777533474951476,1.9400821392507845,0.0003962305157534374,5.987210602853565e-07,2.241327123897463e-10,2.2739587990372456e-11,0.0,1.5432018364818703,1.6911246364873884,0.0001904690406684395,5.99908464682386e-07,2.2363710883155363e-10,2.2739587990372456e-11,0.0,1.992902762143217,4.9043818740478615,7.738981821825419e-05,5.963237015293998e-07,2.2358115359111252e-10,2.2739587990372456e-11,0.0,0.6540419554250443,5.995525567499016,0.00018838006292209997,5.947165893083195e-07,2.241407059955236e-10,2.2739587990372456e-11,0.0,0.3324626146199434,5.583625168720239,0.00022839685465125825,5.939961189582732e-07,2.240527763319733e-10,2.2739587990372456e-11,0.0,1.3273341644380254,6.00960466849548,8.423035895654962e-05,5.936807956352652e-07,2.234852303217849e-10,2.2739587990372456e-11,0.0,0.41954411029080774,5.337280172635632,0.00021526924439463357,5.929546769145588e-07,2.2382096176443156e-10,2.2739587990372456e-11,0.0,1.834134719121597,4.066649317494545,0.0001330038645486198,5.961990985348109e-07,2.2371704488932664e-10,2.2739587990372456e-11,0.0,1.3810210121821442
3.0,4.985280382696583,0.0005771590542225091,5.790252573856236e-06,4.580803736331518e-09,9.067209205682047e-10,4.04121180963557e-13,1.586418067409065,5.976209950594054,0.0003739026197857598,5.790596860233421e-06,4.575256173922071e-09,9.067306905308214e-10,4.04121180963557e-13,1.7700500577822762,3.3172070573485213,0.0007140276657602307,5.783542536441644e-06,4.576283352264454e-09,9.067258055495131e-10,4.04121180963557e-13,1.2577127721233547,2.6611425339648975,0.0013741140396694718,5.805225024246852e-06,4.5878660870357635e-09,9.067209205682047e-10,4.04121180963557e-13,1.7603792868357155,2.355788542794612,0.000668904344602872,5.817929801477106e-06,4.578881274142077e-09,9.067209205682047e-10,4.04121180963557e-13,1.999019825198351,5.531030282512223,0.00028176233589416455,5.805263931790705e-06,4.577878076617026e-09,9.067258055495131e-10,4.04121180963557e-13,0.709952442037928,5.90011987764682,0.0006597716028156064,5.792350233235766e-06,4.588049939968641e-09,9.067209205682047e-10,4.04121180963557e-13,0.3890186307183696,5.900939717668779,0.0007974683391398507,5.781265441040517e-06,4.586399260375629e-09,9.067209205682047e-10,4.04121180963557e-13,1.3294659986045825,5.958194854156798,0.0003049590787940204,5.7922188410053366e-06,4.576071521711356e-09,9.067258055495131e-10,4.04121180963557e-13,0.478346938617086,5.7735816457795055,0.0007539657276400824,5.77300436788164e-06,4.582254575780098e-09,9.067209205682047e-10,4.04121180963557e-13,1.950501997306116,4.872318078838875,0.0004719760878124646,5.796164077143118e-06,4.580376078422432e-09,9.067209205682047e-10,4.04121180963557e-13,1.367981935464841
4.0,5.443301131940144,0.0014008700566736643,2.6148980820206447e-05,3.4160802186988803e-08,1.0337802613946678e-08,8.08242361927114e-12,1.5459495645089638,5.896697854568286,0.0009169762901661827,2.6187390384180276e-05,3.4119151504086176e-08,1.033785634874107e-08,8.08242361927114e-12,1.7212324647634967,3.9827423883663733,0.0017289226430672322,2.6130521612266477e-05,3.412689730808438e-08,1.0337822153871912e-08,8.08242361927114e-12,1.4626493270131125,3.2623974723390132,0.003309364359629363,2.6177181114306336e-05,3.421379579648942e-08,1.0337763534096212e-08,8.08242361927114e-12,1.880555614591831,2.9275478929565466,0.0016214954734050657,2.6238601021244534e-05,3.4146429683801216e-08,1.0337783074021445e-08,8.08242361927114e-12,1.9767910568619271,5.856436629599028,0.0006979257837658182,2.6216495800923667e-05,3.413888771675033e-08,1.0337802613946678e-08,8.08242361927114e-12,0.7292951987949814,5.781318261834604,0.0015948606203775029,2.616059642557289e-05,3.4215054789399346e-08,1.0337802613946678e-08,8.08242361927114e-12,0.42074329681717026,6.005844053502295,0.0019255131482687204,2.61020205183371e-05,3.420276062371386e-08,1.0337783074021445e-08,8.08242361927114e-12,1.3097840180155846,5.855605437771423,0.000752574641322834,2.6176988808579438e-05,3.41252346380827e-08,1.0337822153871912e-08,8.08242361927114e-12,0.5076398512447091,5.95639400357613,0.0018250094983773835,2.606699236684662e-05,3.4171693474860376e-08,1.0337773304058828e-08,8.08242361927114e-12,1.9949175956207243,5.368794874415678,0.0011508912930513482,2.616117240705762e-05,3.415764471270677e-08,1.0337773304058828e-08,8.08242361927114e-12,1.33769385741365
5.0,5.725219659611963,0.0027625772433936824,7.855440839188432e-05,1.4881546794853762e-07,6.051458179001656e-08,7.247624722594992e-11,1.5052799845238884,5.799401050469255,0.001818528294488253,7.872101798334086e-05,1.4862267416759778e-07,6.051497258852123e-08,7.247624722594992e-11,1.6757773401668592,4.5192358579954,0.0034073428390613003,7.851236638156678e-05,1.486587293264563e-07,6.05147185694932e-08,7.247624722594992e-11,1.6161428952146983,3.7667408536954854,0.006512355104675294,7.859145677624468e-05,1.490607877130401e-07,6.051435219589507e-08,7.247624722594992e-11,1.9500136957622431,3.4210332525638867,0.0031976096648511643,7.878915762038474e-05,1.4874917297902357e-07,6.051446455046516e-08,7.247624722594992e-11,1.9445794996154504,6.027892177635765,0.0013922789099707344,7.876495936631756e-05,1.4871424092177676e-07,6.051463063982965e-08,7.247624722594992e-11,0.7313841162034156,5.660083544618553,0.003135940921685787,7.859288833511613e-05,1.4906616740972822e-07,6.051458179001656e-08,7.247624722594992e-11,0.4386253038158108,6.0174244707648405,0.003787117098408288,7.839866006076335e-05,1.490095806744307e-07,6.051444501053993e-08,7.247624722594992e-11,1.2824367995880501,5.73890397617549,0.0014975785487547633,7.866719919791265e-05,1.4865081165993388e-07,6.051474787938105e-08,7.247624722594992e-11,0.5214101473272876,6.020693312836142,0.003596894039443743,7.829321573948889e-05,1.488659355786126e-07,6.051441570065208e-08,7.247624722594992e-11,2.007143541093561,5.683561605385715,0.0022756663164003044,7.857453925641522e-05,1.4880111542936447e-07,6.0514430355596e-08,7.247624722594992e-11,1.3020286214270698
6.0,5.898648135726599,0.004770853079443249,0.00018394816550504345,4.6638182116254256e-07,2.3590487741032007e-07,3.9469361112765e-10,1.4657506879529034,5.696789402280766,0.003147962004947935,0.00018439613680909517,4.6572269241096365e-07,2.3590664088857238e-07,3.9469361112765e-10,1.6332690870298805,4.955848402137052,0.00588795058032332,0.0001838569045284899,4.6584661328452626e-07,2.3590552222785277e-07,3.9469361112765e-10,1.7329645164560428,4.191553151280133,0.011267739199465332,0.0001840005112003773,4.672208580025483e-07,2.359038417942827e-07,3.9469361112765e-10,1.9900365590544111,3.847914821728136,0.005526969242009017,0.00018449747841131625,4.661559338536847e-07,2.3590435471732007e-07,3.9469361112765e-10,1.9085806863325807,6.112068772174922,0.002417644601282465,0.00018447071000871063,4.660363375208476e-07,2.3590510700444156e-07,3.9469361112765e-10,0.724438330250087,5.542407254745459,0.005404090381784243,0.00018404392938942138,4.672376245906662e-07,2.3590488718028269e-07,3.9469361112765e-10,0.44817191783755383,5.982042400554536,0.0065346186724291044,0.0001835521273103602,4.6704533440689033e-07,2.359042521327126e-07,3.9469361112765e-10,1.2522105355168285,5.619881613529792,0.0025962007040480906,0.0001842497354993533,4.658187835460126e-07,2.359056492373668e-07,3.9469361112765e-10,0.5263093200799362,6.0220889776277,0.006217592606236888,0.00018329620389145873,4.665547508331258e-07,2.3590414954810512e-07,3.9469361112765e-10,2.002759302519129,5.883809977206637,0.0039350732323439885,0.00018398627001658951,4.663335557708592e-07,2.3590420328289952e-07,3.9469361112765e-10,1.2648707548221756
7.0,6.001418392483169,0.007514642219210721,0.0003647654742526818,1.1728791857734677e-06,7.024935886335015e-07,1.5384893359282614e-09,1.4277219547565245,5.593779260070067,0.004958849754672645,0.0003656970439975815,1.1710473750703443e-06,7.024997192850435e-07,1.5384893359282614e-09,1.5933013540018717,5.3136067147740444,0.00928817345359434,0.0003645699088781207,1.1713932384083137e-06,7.02495845494866e-07,1.5384893359282614e-09,1.8228044956560927,4.550346936504533,0.017831787713826763,0.0003648940007696666,1.1752117559105102e-06,7.02489968862352e-07,1.5384893359282614e-09,2.0116914635809193,4.217693937942903,0.008718795710374039,0.00036595236987668756,1.1722533783675715e-06,7.024917811904174e-07,1.5384893359282614e-09,1.8713187149553487,6.143295649465898,0.0038130848197148737,0.00036587561823075987,1.171920904319279e-06,7.024943946554174e-07,1.5384893359282614e-09,0.7124578380234978,5.43018773635721,0.008498513685346598,0.0003649635939746432,1.1752548094712267e-06,7.024936081734268e-07,1.5384893359282614e-09,0.4524001231777173,5.9211948898328615,0.010297082705041927,0.00036391985357564494,1.174722743080281e-06,7.024913708519875e-07,1.5384893359282614e-09,1.2210483773094536,5.503041898580112,0.00409021831221601,0.00036540416603436654,1.1713143175384744e-06,7.024962753732211e-07,1.5384893359282614e-09,0.5258367225358591,5.987438790331614,0.009813539176464214,0.0003633838376146947,1.1733602010011168e-06,7.024910386732586e-07,1.5384893359282614e-09,1.9890086031233833,6.008174340367979,0.00620028250577942,0.0003648586956335187,1.1727471873612672e-06,7.024912340725109e-07,1.5384893359282614e-09,1.2277275794224258
8.0,6.056260011830066,0.01106448577746777,0.0006428994152813949,2.5230167115530833e-06,1.7313565936483144e-06,4.73380623589037e-09,1.3912231702851137,5.492500535435182,0.0072902797449314605,0.0006445283791398637,2.5186327223813976e-06,1.7313743114755198e-06,4.73380623589037e-09,1.5555140615520608,5.608108961922888,0.01370522503397531,0.0006424921717824716,2.519464345152045e-06,1.7313631248683237e-06,4.73380623589037e-09,1.892262917320497,4.853818684110954,0.02643211986273153,0.0006432906956050921,2.528603270768315e-06,1.7313460909385014e-06,4.73380623589037e-09,2.0212518826062515,4.538215260298286,0.012862866732872291,0.0006452924585484965,2.521523521981095e-06,1.7313514448780154e-06,4.73380623589037e-09,1.8339237766894816,6.1409128839661244,0.005605233926666564,0.0006450074172068554,2.5207261158399774e-06,1.7313589921741368e-06,4.73380623589037e-09,0.6975689839519279,5.323931340348593,0.012497795706414294,0.0006432593994940561,2.5286958447168217e-06,1.7313566473831088e-06,4.73380623589037e-09,0.4530744989793982,5.846044649313427,0.015181299482518451,0.0006413037060171156,2.5274294377375384e-06,1.7313500966231743e-06,4.73380623589037e-09,1.1898157252983745,5.3902362827502435,0.006008318330161799,0.0006440553024882334,2.519270584144806e-06,1.7313644242733517e-06,4.73380623589037e-09,0.521967897517146,5.931162841546949,0.014490585748834217,0.0006402949241861577,2.5241713879076144e-06,1.731349158706763e-06,4.73380623589037e-09,1.9696546255980647,6.080361681437839,0.009126139714219494,0.0006431409723850479,2.5227053925824805e-06,1.731349837719165e-06,4.73380623589037e-09,1.1912210495895899
