Ecms,phase_sing_20e,phase_trip_20e,delta_plus20e,delta_minus20e,epsi_p20e,phase_sing_21e,phase_trip_21e,delta_plus21e,delta_minus21e,epsi_p21e,phase_sing_22e,phase_trip_22e,delta_plus22e,delta_minus22e,epsi_p22e,phase_sing_23e,phase_trip_23e,delta_plus23e,delta_minus23e,epsi_p23e,phase_sing_24e,phase_trip_24e,delta_plus24e,delta_minus24e,epsi_p24e,phase_sing_25e,phase_trip_25e,delta_plus25e,delta_minus25e,epsi_p25e,phase_sing_26e,phase_trip_26e,delta_plus26e,delta_minus26e,epsi_p26e
0.001,-3.3273117222085373e-07,0.0006367959735698587,-1.9418287307182683e-11,-0.02658041420662379,-2.0963547425669438e-07,3.984150968997347e-12,2.659615626724779e-08,9.493995987415698e-17,3.233394183576775e-08,-4.5881570434029345e-12,-8.295432646545653e-16,4.846488812050234e-14,-9.685640455220406e-21,3.639277212977462e-13,9.478580376923217e-16,6.610478103862791e-21,-2.144923514280942e-18,4.56417096454791e-26,-1.9968125119402473e-18,-7.7428356614461e-21,-7.05686291888911e-25,-5.75708417327947e-22,-4.4745474200700035e-30,-5.60705987745591e-22,8.372603642782601e-25,3.6632670667463734e-30,4.17826263436681e-27,1.8072024315568861e-35,4.2353517622369484e-27,-4.193723319084851e-30,0.11533023263042393,2.94939576437364e-07,0.0,0.0,0.0
0.05,-0.00011641048571108422,0.004383808103635608,-3.3821869381791343e-07,-0.18683668754311508,-7.271639701388778e-05,6.95943922056296e-08,9.427353208715478e-06,5.830654434318864e-11,1.1454482931499902e-05,-8.016220225912426e-08,-4.879056930070488e-10,7.01955874099707e-10,-3.4026262348541256e-13,6.26819139357568e-09,5.677350126793959e-10,2.8842596839870417e-13,6.747893347052892e-13,9.934220438323966e-17,8.061062756196967e-13,-3.3783006386836087e-13,-1.5328657189225864e-15,-2.5306735771210546e-14,-4.86189284629885e-19,-2.4738112779503617e-14,1.8187636078032935e-15,3.9664920448540585e-19,9.198077841548838e-18,9.766286199229509e-23,9.217101211196832e-18,-4.544716273981991e-19,0.6684068812846432,0.00010369002915487677,0.0,0.0,0.0
1.0,-0.008638444394170323,0.010706997823217353,-0.00046843604542636045,-0.7585461326840041,-0.004711999667191463,0.00010016670457738884,0.0008756430103109161,1.6316779037239173e-06,0.0010544747501494093,-0.00011572074345959305,-1.2559509987653463e-05,-2.7591045592998316e-06,-1.6338579028147777e-07,6.852234305338044e-06,1.4761901818630357e-05,1.1091856785180646e-07,4.8098673010379156e-08,9.664984164238574e-10,5.253659352648792e-08,-1.2559095744289474e-07,-1.7577845796239486e-08,-5.504995960219635e-09,-1.292394534877115e-10,-5.131842291115482e-09,1.982762883958519e-08,1.1271411875955706e-10,3.778558423337576e-11,3.693908117684604e-13,3.8006722041168754e-11,-1.2528254280703415e-10,1.1238151126579259,0.008349235663597373,0.0,0.0,0.0
2.0,-0.02063744920641871,0.004980700314006142,-0.0021169025785262897,-0.9938779010910976,-0.010155335241457153,0.0004624127897436062,0.0025322063922562314,1.4543201593707777e-05,0.003031049086229484,-0.0005347656375613042,-0.00010363515857177269,-2.8693656566740803e-05,-2.624401443281883e-06,2.3783911126794887e-05,0.0001231609378362888,1.784968440686343e-06,6.766807974993989e-07,3.088161874782965e-08,7.240705032118675e-07,-2.0323657800545453e-06,-5.302160416979853e-07,-1.3483080189345455e-07,-7.871576822601584e-09,-1.2709539426837798e-07,5.991712905543335e-07,6.891922472660388e-09,1.6762869822165177e-09,7.141751976908086e-11,1.6853403858282897e-09,-7.664768059096827e-09,1.120331049693044,0.021304012391302633,0.0,0.0,0.0
3.0,-0.03271102510238005,-0.003742221593399581,-0.004802435879983625,-1.1454060297123863,-0.014852166095547433,0.0010627445957764122,0.004703614715659025,4.824583603191685e-05,0.00560761630441826,-0.0012278821604854823,-0.0003215862850395426,-9.779410697827916e-05,-1.186115790304962e-05,4.2007088765331775e-05,0.000386460075514197,8.058246429811908e-06,3.000460481803449e-06,2.0662347897504818e-07,3.185758177593835e-06,-9.22928207018929e-06,-3.3467218041069264e-06,-8.120100309307415e-07,-7.475957198078605e-08,-7.679183339374635e-07,3.7920660885690015e-06,6.567016857228747e-08,1.4352462025166095e-08,1.0327149951625113e-09,1.4428882920314181e-08,-7.311204014304708e-08,1.0971570286738663,0.03552861316912824,0.0,0.0,0.0
4.0,-0.044167014842498326,-0.01356894636503514,-0.008295371822357994,-1.257384811468945,-0.0187700617536368,0.001852443723117184,0.007269509749600184,0.00010775363843720829,0.008642283530288439,-0.0021345373345538115,-0.0006777411218987877,-0.00021891202469923583,-3.2366195139803596e-05,5.888036790312202e-05,0.0008234120344001499,2.1897648390126174e-05,8.259827844371846e-06,7.371449978865233e-07,8.740545049998424e-06,-2.523043789351116e-05,-1.1272596823663632e-05,-2.7351434202718385e-06,-3.3468262535083906e-07,-2.5867417155499264e-06,1.2816869264939752e-05,2.946999321756348e-07,6.214399322851058e-08,6.224158749214453e-09,6.248255953484044e-08,-3.286151922476954e-07,1.071194356508909,0.04990843542818744,0.0,0.0,0.0
5.0,-0.05483881491527681,-0.02376926485399439,-0.012401418677990122,-1.3462768822927056,-0.022032723670327086,0.0027892809616558148,0.010148719313696054,0.0001948099651511425,0.012040429343397921,-0.0032003784658311265,-0.0011646116403144138,-0.00039365963698224726,-6.762072536739772e-05,7.655337724387939e-05,0.0014299145878499879,4.54379051517441e-05,1.755631553646562e-05,1.8785542286563225e-06,1.8552986055768658e-05,-5.266382156838312e-05,-2.7178855567889315e-05,-6.712842572982537e-06,-9.99866017434622e-07,-6.338196718190237e-06,3.103012936605359e-05,8.815871295858394e-07,1.8511400499518254e-07,2.3339464199157673e-08,1.861689064255015e-07,-9.850982815647617e-07,1.0455376089068,0.06390991686559797,0.0,0.0,0.0
6.0,-0.06472474073369094,-0.0340073638199184,-0.016969581431145863,-1.4200706177098634,-0.02476780481574002,0.003840687747307613,0.013280945417529666,0.0003091926171305706,0.01573194396402143,-0.004381886924387449,-0.0017672091679326618,-0.0006198194899979233,-0.00012004743526221562,9.946783193334325e-05,0.002191764576495346,7.994242196313726e-05,3.177625296063452e-05,3.8926867633362056e-06,3.3570197657240366e-05,-9.318655723454197e-05,-5.3445046085499275e-05,-1.3527807217721402e-05,-2.3281984470340516e-06,-1.2738784383035712e-05,6.13020285508657e-05,2.052995793500763e-06,4.359737142156857e-07,6.51265520292139e-08,4.38606794832647e-07,-2.2999049890761334e-06,1.0209315324070733,0.07725710870114154,0.0,0.0,0.0
7.0,-0.0738781735009311,-0.044116691567601014,-0.02188478752278831,-1.483242753665448,-0.02708122087918956,0.004982381987288468,0.016619242565276703,0.00044958867517780506,0.019662149747997286,-0.00564532480092198,-0.0024684420456270242,-0.0008933396801785854,-0.00019121785359325593,0.00013284976629279158,0.0030910577455663703,0.00012598240583796676,5.15971625138852e-05,7.022786671855415e-06,5.452627308664864e-05,-0.00014765447445982139,-9.182373398601734e-05,-2.3864271698048016e-05,-4.590118607233633e-06,-2.239739243610382e-05,0.0001058482705222519,4.042766505850057e-06,8.749982230718847e-07,1.4883178005224837e-07,8.806409319837474e-07,-4.542313499374254e-06,0.997521392979786,0.08980845480697316,0.0,0.0,0.0
8.0,-0.0823680632728807,-0.05401257870431149,-0.027059523028066166,-1.5385482044517829,-0.029056304416736855,0.006196452173673392,0.02012596324251092,0.0006141348155120007,0.023787038385243833,-0.0069647750095184965,-0.003251593131249636,-0.001209428210221478,-0.00028205920227486816,0.0001819264286581321,0.004109342379773405,0.0001836234104529947,7.751828045059787e-05,1.1482280583806367e-05,8.197298805956779e-05,-0.00021632099238560706,-0.00014350308585727383,-3.828352777248543e-05,-8.047784658717115e-06,-3.579345603161608e-05,0.00016627285591731272,7.07082118642817e-06,1.5653047239383623e-06,2.9497837627471364e-07,1.5761246308941214e-06,-7.970303830684558e-06,0.9752740383329144,0.10149854633557664,0.0,0.0,0.0
