Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
0.001,-3.3273118336302e-07,0.0006367959735388351,-1.9418283589044455e-11,-0.026580414207248243,-2.0963547447063147e-07,3.984677173873003e-12,2.6596147984107534e-08,9.494013888493923e-17,3.2333888174204496e-08,-4.588153506225313e-12,-8.296004706893706e-16,4.847981507832026e-14,-9.686244185695338e-21,3.637553176502611e-13,9.479177535996786e-16,6.6103345430791115e-21,-2.155956195984691e-18,4.563925266085626e-26,-1.9965600946137002e-18,-7.742422565106235e-21,-7.056716728858089e-25,-5.757054366097218e-22,-4.474557756803132e-30,-5.607073721394637e-22,8.372623251062157e-25,3.663265859207564e-30,4.178222496107468e-27,1.8072020732191558e-35,4.235350004048052e-27,-4.193721836941761e-30,0.11533023263002634,2.9493955306272405e-07,0.0,0.0,0.0
0.05,-0.00011641048959312165,0.004383808103420671,-3.382188161475149e-07,-0.1868366874806165,-7.271639616815244e-05,6.959442426330041e-08,9.427351862279301e-06,5.830709750308214e-11,1.145448758298059e-05,-8.016219658591227e-08,-4.879044105078661e-10,7.019213131025126e-10,-3.4026268878114893e-13,6.268193977358159e-09,5.677351593247384e-10,2.883787394231482e-13,6.699551662417222e-13,9.934487638646708e-17,8.057598263525071e-13,-3.3783914207604106e-13,-1.532844386507094e-15,-2.5341125335042462e-14,-4.861926598439683e-19,-2.4738276643489455e-14,1.8187762005655823e-15,3.9664068396486097e-19,9.19022715998597e-18,9.766336469461427e-23,9.217149576743458e-18,-4.54474058694531e-19,0.6684068812860751,0.00010369002754716747,0.0,0.0,0.0
1.0,-0.0086384443854881,0.010706997822580232,-0.0004684360527030738,-0.7585461317650366,-0.004711999607036728,0.00010016670787883621,0.0008756429938917751,1.6316773750251655e-06,0.001054474859124246,-0.00011572073187287008,-1.2559510826512613e-05,-2.7591036765669875e-06,-1.6338578167119519e-07,6.852235163155658e-06,1.4761901846365583e-05,1.1089025745013691e-07,4.812479310944307e-08,9.66499303674036e-10,5.2535994364574005e-08,-1.2559107216934724e-07,-1.7577616370346545e-08,-5.50465729519201e-09,-1.2923945675077467e-10,-5.1318421775249934e-09,1.982762934060348e-08,1.1271354161365653e-10,3.772497931750959e-11,3.693899644389471e-13,3.800665644266555e-11,-1.252822554438122e-10,1.123815112489173,0.008349235570473557,0.0,0.0,0.0
2.0,-0.020637449186425502,0.004980700655339705,-0.002116902563707372,-0.9938779008315799,-0.010155335115814122,0.0004624128054893917,0.002532206405758955,1.4543197349503843e-05,0.0030310495766906202,-0.0005347655726812495,-0.00010363515834598131,-2.8693662300084402e-05,-2.6244016614919565e-06,2.37839113208718e-05,0.00012316094740305315,1.78497207930811e-06,6.7695355668153e-07,3.0881607631233505e-08,7.240709822301037e-07,-2.032365025304397e-06,-5.30208059010165e-07,-1.3483000897498265e-07,-7.871577047458972e-09,-1.270953924300956e-07,5.99171307688317e-07,6.891881933720158e-09,1.6771825460315594e-09,7.141733271626824e-11,1.6853369432922979e-09,-7.664747984372484e-09,1.1203310496622483,0.021304012172354628,0.0,0.0,0.0
5.0,-0.054838814864752464,-0.02376926478296543,-0.012401418665029836,-1.3462768821357698,-0.02203272356694023,0.0027892810645675993,0.010148719566234279,0.0001948099664018826,0.012040431436575636,-0.0032003781914365886,-0.0011646116370440593,-0.00039365980197344136,-6.762072361078446e-05,7.655332095983248e-05,0.001429914548679803,4.543803072447199e-05,1.7562699127623993e-05,1.8785543012094116e-06,1.8552984909020702e-05,-5.2663822624907124e-05,-2.7178862356366728e-05,-6.712796403408825e-06,-9.998661021413397e-07,-6.338197211889425e-06,3.1030131994766225e-05,8.815794830764216e-07,1.8510719531980852e-07,2.333946720562431e-08,1.8616891753693582e-07,-9.85098408476759e-07,1.0455376088588184,0.0639099163512639,0.0,0.0,0.0
8.0,-0.0823680631988841,-0.05401257888721113,-0.027059522974923523,-1.5385482044853274,-0.029056303943075585,0.006196452341135936,0.0201259639015763,0.0006141348093739948,0.023787038149792245,-0.006964774612225284,-0.003251593119809954,-0.0012094287559562618,-0.00028205917267528296,0.00018192672706862612,0.004109342019529602,0.00018362407764454982,7.753257949769586e-05,1.1482278624785088e-05,8.197301344901398e-05,-0.0002163209539004063,-0.00014350313776705675,-3.828353840805032e-05,-8.047784770215579e-06,-3.5793455585396734e-05,0.00016627285823208067,7.070834204246035e-06,1.5654292596942456e-06,2.949783703611318e-07,1.5761246066680533e-06,-7.970303670883637e-06,0.9752740382946804,0.1014985460723285,0.0,0.0,0.0
11.0,-0.10452463867498492,-0.08210451232996048,-0.043545935551970685,1.46879228658485,0.03353104876747733,0.010157281013012488,0.03137282915381944,0.0012317065563501486,0.03699591916956345,-0.011081890220533658,-0.005949672477691295,-0.002364754254592319,-0.000675423459657503,0.00046909093637746187,0.007712278698589877,0.0004223487842649766,0.00019492502936657247,3.446349491761722e-05,0.0002067397693128695,-0.0005043736805245301,-0.00038364746739277323,-0.00010987601488994094,-2.793101496540937e-05,-0.00010138414537156486,0.0004513882911844774,2.4205296214883005e-05,5.752657611043874e-06,1.3377017968162523e-06,5.801211380213476e-06,-2.7574721150617636e-05,0.9146165369032712,0.1313245581191486,0.0,0.0,0.0
14.0,-0.1228574912576091,-0.10771323520010867,-0.060707400788270256,1.364582088252301,0.03659552981842647,0.01445729700875154,0.04328026299794174,0.0019936674971859835,0.050946972320776863,-0.015208295101658024,-0.00894724592754046,-0.0037419555617460945,-0.0012458062763159388,0.001039019936608152,0.011863532074442152,0.0007463091546080806,0.0003747024761718091,7.39443088954169e-05,0.00039875322278620486,-0.0009012700282960882,-0.0007495453277235171,-0.00022802592728051303,-6.60082441986912e-05,-0.0002073469414731304,0.0008946026777403242,5.606454909055851e-05,1.4212943777658962e-05,3.7811226278371207e-06,1.4360861464221142e-05,-6.454314370202296e-05,0.861278397342122,0.15382914087773353,0.0,0.0,0.0
17.0,-0.13844250239264042,-0.13101815939481215,-0.07799437255441527,1.278776566905046,0.03881741139876022,0.0190058347843424,0.05546437567472504,0.002855970128290498,0.0651816908487572,-0.019182567612959358,-0.01205521493192878,-0.005252576185546501,-0.0019805937250712328,0.0019529039380648758,0.01631561877107505,0.0011368690939113964,0.0006175443234308096,0.00013098928584608847,0.0006592911181244051,-0.001385422021135159,-0.0012268844493441692,-0.0003934731969653226,-0.00012564784412569442,-0.0003523357034244778,0.0014838323347500706,0.00010428151825359813,2.8017119245941615e-05,8.213832710759639e-06,2.8363126070840287e-05,-0.00012122394183442793,0.8134998505535018,0.17008338148006075,0.0,0.0,0.0
20.0,-0.1520048423480642,-0.15226831412194494,-0.09513534676220962,1.2054349535576985,0.040499474338761575,0.023761420617821702,0.06766706523483773,0.003785940222018119,0.07939032389675076,-0.02292885850933692,-0.015163568419176337,-0.006834701374095267,-0.002864491908402163,0.0032441252463357383,0.020911329072033073,0.0015773440060483821,0.0009223411358833752,0.00020542408558978293,0.0009877057356059145,-0.001936649928800652,-0.0017971680276758833,-0.0006038910653233865,-0.00020848228515592748,-0.0005322506164073745,0.0021999958420829196,0.00016886408226732472,4.784346927103856e-05,1.5107688834185958e-05,4.853214267434247e-05,-0.00019806055334682237,0.7700842408687475,0.18117809547668232,0.0,0.0,0.0
