Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
0.001,-3.3269463651735447e-07,0.0006367967584719567,-1.941952823626215e-11,-0.026580416146711076,-2.0963508525541135e-07,3.8870495652233175e-12,2.6594873853861055e-08,9.488703680212156e-17,3.234138871775218e-08,-4.585556764795462e-12,-8.296004706893706e-16,3.428232647998227e-14,-9.699605399822165e-21,3.6733625119735725e-13,9.492339229196972e-16,6.6103345430791115e-21,-2.155956195984691e-18,4.563925266085626e-26,-1.9965600946137002e-18,-7.742422565106235e-21,-7.056716728858089e-25,-5.757054366097218e-22,-4.474557756803132e-30,-5.607073721394637e-22,8.372623251062157e-25,3.663265859207564e-30,4.178222496107468e-27,1.8072020732191558e-35,4.235350004048052e-27,-4.193721836941761e-30,0.11533023238193307,2.949623459494159e-07,0.0,0.0,0.0
0.05,-0.00011640880978983847,0.004383813551020989,-3.3826214486472673e-07,-0.1868366807749805,-7.271632673535039e-05,6.789233286524152e-08,9.42725579990511e-06,5.829406503326716e-11,1.145589626597511e-05,-8.014428461280304e-08,-4.879393408586475e-10,4.773270961046095e-10,-3.4075529952493213e-13,6.328225120386721e-09,5.685598208845367e-10,2.883787394231482e-13,6.624928708770749e-13,9.919823556283215e-17,8.062269904256819e-13,-3.3734051011043874e-13,-1.532844386507094e-15,-2.5341125335042462e-14,-4.861926598439683e-19,-2.4738276643489455e-14,1.8187762005655823e-15,3.9664068396486097e-19,9.19022715998597e-18,9.766336469461427e-23,9.217149576743458e-18,-4.54474058694531e-19,0.6684068635535666,0.00010369097600418863,0.0,0.0,0.0
1.0,-0.008638324753435072,0.01070701467203996,-0.00046843624262089654,-0.7585460722668755,-0.004711985898990722,0.00010018052321954788,0.0008756485475089888,1.6315165685315925e-06,0.0010543683376360064,-0.00011571625985869713,-1.2560521871039657e-05,-2.758998320765164e-06,-1.6339679902964033e-07,6.846553263021623e-06,1.4762882755879105e-05,1.1089822966057565e-07,4.707795235591405e-08,9.64999602220521e-10,5.252446228095625e-08,-1.2539624358338942e-07,-1.7577616370346545e-08,-5.512815880705387e-09,-1.2924046392678352e-10,-5.131864233475892e-09,1.982778386148115e-08,1.1271354161365653e-10,3.772497931750959e-11,3.693899644389471e-13,3.800665644266555e-11,-1.252822554438122e-10,1.1238151064848647,0.008349253047786274,0.0,0.0,0.0
2.0,-0.02063716779760717,0.0049807159566455615,-0.0021169011354359125,-0.9938777433207054,-0.010155310199717922,0.0004624788112164013,0.0025322228707833293,1.4544030301735481e-05,0.003030962744814435,-0.0005347808272679261,-0.00010364457296411371,-2.8694256204133264e-05,-2.6244446207315894e-06,2.377889155763378e-05,0.00012316294542586784,1.7845975929505143e-06,6.612517779796835e-07,3.082880411568045e-08,7.236164989417825e-07,-2.0288911564864263e-06,-5.30208059010165e-07,-1.3502744408224209e-07,-7.87164653712615e-09,-1.2709610972088397e-07,5.991765972290128e-07,6.891881933720158e-09,1.6734436162033274e-09,7.141733271626824e-11,1.6853369432922979e-09,-7.664747984372484e-09,1.120331038856188,0.02130405530698476,0.0,0.0,0.0
5.0,-0.05483805892413637,-0.02376926324617746,-0.012401432024927026,-1.3462768760491195,-0.022032870139812862,0.0027897148116486368,0.010148848489826088,0.00019481854875062098,0.012039999274648399,-0.0032004432836604513,-0.0011646080648400837,-0.00039364027082057626,-6.762048318759855e-05,7.652025498031213e-05,0.0014299094418921796,4.542517854368617e-05,1.737264433328389e-05,1.8786280669714621e-06,1.855128233741141e-05,-5.266589944450209e-05,-2.7178259242031982e-05,-6.7235173969604635e-06,-9.998784917368648e-07,-6.338250678445942e-06,3.1030516539464745e-05,8.815794830764216e-07,1.8474561773687906e-07,2.3339375799045896e-08,1.8616830774100587e-07,-9.850945505378992e-07,1.0455375986437119,0.06391003516940334,0.0,0.0,0.0
8.0,-0.0823682840146005,-0.05401259106577833,-0.027059671992925333,-1.5385487052849205,-0.02905659183815709,0.006196455799095525,0.020126250437015058,0.0006141683599407098,0.023786169122581417,-0.006965050931483528,-0.003251581028647148,-0.0012093633881433352,-0.00028205797000230884,0.0001818217388918708,0.004109324451985439,0.0001835537277314372,7.66590340663078e-05,1.1482423863310857e-05,8.197295721757369e-05,-0.000216323683847584,-0.00014349866177499254,-3.8347667369431945e-05,-8.047920553510438e-06,-3.5793854035760535e-05,0.00016627566417321376,7.070733641795661e-06,1.5616797189124136e-06,2.949768199578279e-07,1.5761177122430365e-06,-7.970261781474578e-06,0.9752740095554554,0.10149871957352394,0.0,0.0,0.0
11.0,-0.10452491371207003,-0.08210453467974177,-0.04354614475394064,1.468792237312963,0.03353138729076219,0.010157287048973269,0.03137289957525163,0.0012317869241283562,0.03699407201919942,-0.011082545752612078,-0.005949611353710211,-0.002364624466244904,-0.0006754199009396823,0.00046886280427756665,0.007712238748574489,0.00042213641001401133,0.00019412456896125062,3.44640117646687e-05,0.0002067396164848755,-0.0005043812208455012,-0.0003836312166095106,-0.00011006677592143179,-2.793163260703931e-05,-0.00010138553265771845,0.00045139827552926796,2.4204888097235676e-05,5.736783191417283e-06,1.337692302565702e-06,5.801178120927142e-06,-2.7574525462121423e-05,0.9146165568815365,0.13132476446668803,0.0,0.0,0.0
14.0,-0.12285780821545825,-0.10771326341595251,-0.06070780172909433,1.3645837124021272,0.0365959678533132,0.014457306052941947,0.04328035469211101,0.001993803136075254,0.05094443359888956,-0.015209258757815628,-0.008947136056249262,-0.0037417530929675347,-0.001245798094962425,0.0010386115696729176,0.011863457720210928,0.0007458552500094037,0.0003730550786967526,7.394560208371749e-05,0.00039875266967027577,-0.0009012857206032426,-0.0007495044137075672,-0.0002284494119525343,-6.601011655774604e-05,-0.0002073502957538791,0.0008946280634863649,5.606328923338732e-05,1.417028884289498e-05,3.7810872176612877e-06,1.4360756535403337e-05,-6.45425393590357e-05,0.8612784158273967,0.1538293619514549,0.0,0.0,0.0
17.0,-0.13844250473343425,-0.1310181885695951,-0.07799495055585408,1.278778623296995,0.03881796948008061,0.019005847173865317,0.05546448363760019,0.0028561831339795176,0.06517815939613437,-0.019183957478577856,-0.012055040335458856,-0.005252296313726813,-0.001980577725971097,0.0019522542527563836,0.0163154974660777,0.001136152593361305,0.0006145964182678628,0.00013099192178796408,0.0006592895959250157,-0.0013854497349414434,-0.001226804471159718,-0.0003945633648810288,-0.00012565231053319337,-0.00035234225082515737,0.001483885107331914,0.00010427858907145518,2.792279281845218e-05,8.213733599915858e-06,2.8362868820912706e-05,-0.00012122247948225929,0.8134998676606666,0.1700836048465852,0.0,0.0,0.0
20.0,-0.15200484504539927,-0.1522683385280784,-0.09513636891073639,1.2054363743776246,0.04049988035835309,0.0237614366169202,0.06766718408906895,0.0037862272564623788,0.07938601157352335,-0.022930597182775996,-0.015163312569697935,-0.00683434486040003,-0.0028644634315769944,0.0032431672345593627,0.020911145446372594,0.0015755219098049186,0.0009179220830262938,0.00020542875773798104,0.0009877025041985761,-0.0019366934990414132,-0.0017969973139038416,-0.0006052181225348848,-0.00020847866286839847,-0.0005322485976948237,0.002199957622643535,0.00016885717395460562,4.765448748742929e-05,1.5107458139039395e-05,4.853160691223735e-05,-0.00019805753003492995,0.7700842563087139,0.1811783122137196,0.0,0.0,0.0
