Ecms,Cross_sig20_0,Cross_sig20_1,Cross_sig20_2,Cross_sig20_3,Cross_sig20_4,Cross_sig20_5,Cross_sig20_6,Cross_sig20_7,Cross_sig20_8,Cross_sig20_9,Cross_sig20_10,Cross_sig21_0,Cross_sig21_1,Cross_sig21_2,Cross_sig21_3,Cross_sig21_4,Cross_sig21_5,Cross_sig21_6,Cross_sig21_7,Cross_sig21_8,Cross_sig21_9,Cross_sig21_10,Cross_sig22_0,Cross_sig22_1,Cross_sig22_2,Cross_sig22_3,Cross_sig22_4,Cross_sig22_5,Cross_sig22_6,Cross_sig22_7,Cross_sig22_8,Cross_sig22_9,Cross_sig22_10,Cross_sig23_0,Cross_sig23_1,Cross_sig23_2,Cross_sig23_3,Cross_sig23_4,Cross_sig23_5,Cross_sig23_6,Cross_sig23_7,Cross_sig23_8,Cross_sig23_9,Cross_sig23_10,Cross_sig24_0,Cross_sig24_1,Cross_sig24_2,Cross_sig24_3,Cross_sig24_4,Cross_sig24_5,Cross_sig24_6,Cross_sig24_7,Cross_sig24_8,Cross_sig24_9,Cross_sig24_10,Cross_sig25_0,Cross_sig25_1,Cross_sig25_2,Cross_sig25_3,Cross_sig25_4,Cross_sig25_5,Cross_sig25_6,Cross_sig25_7,Cross_sig25_8,Cross_sig25_9,Cross_sig25_10,Cross_sig26_0,Cross_sig26_1,Cross_sig26_2,Cross_sig26_3,Cross_sig26_4,Cross_sig26_5,Cross_sig26_6,Cross_sig26_7,Cross_sig26_8,Cross_sig26_9,Cross_sig26_10
0.001,0.004240545322049982,0.047712974886331416,0.0016309698830125896,0.0011863224018910934,0.0009952383579046042,0.006339661360387883,0.08286604555189836,0.012328858058382242,0.0497394325517897,0.009369445071999216,0.0038368963644046516,1.7763568394002505e-14,1.1102230246251565e-14,2.220446049250313e-14,4.440892098500626e-14,2.220446049250313e-14,6.661338147750939e-15,1.9984014443252818e-14,2.6645352591003757e-14,6.661338147750939e-15,2.220446049250313e-14,1.3322676295501878e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026484388488071886,0.36076452482348786,0.0007160605540770248,0.0018977903915224914,0.011161684684137363,0.001004032757262685,0.00034023817391615196,0.0065130251353942015,0.00048079537384904114,0.003897180791444299,0.008550526641934564
0.05,0.207137320221495,1.7731156289920857,0.08092318561835432,0.05899596662304907,0.04954699406199836,0.3057200421830215,2.5689809658969818,0.5713155482867691,1.832495591191098,0.4426878119278417,0.18795288688808753,2.200981619182585e-09,1.3274115140404774e-09,2.78290723798591e-09,5.6226734379549725e-09,2.5873303499679423e-09,9.36903887804874e-10,2.571687307550974e-09,3.1555091872803587e-09,1.0366862923660847e-09,2.9499647169473064e-09,1.7464540924549965e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768146627247527,1.78933223777178,0.035412331516830875,0.0917447180687363,0.45177378008290425,0.04797618133384818,0.016615243290257098,0.271242420049572,0.023358883143206555,0.18114798213323713,0.34002070636358983
1.0,2.8402424650757574,5.786802393404935,1.4095779663040449,1.0680127195081184,0.9145882252330484,3.5785986226038604,5.95897774875189,4.6378476094344325,5.8335165675109,4.219377343287226,2.6783531167434105,1.9154851971237008e-05,1.1889267368392353e-05,2.3999875038427376e-05,4.7502145987809996e-05,2.238112357222377e-05,8.610328787739263e-06,2.2193667483794144e-05,2.7055009355070325e-05,9.44700579763591e-06,2.5400608953951576e-05,1.5380969013989443e-05,9.074255125085529e-09,8.867506728904573e-09,8.993996658546166e-09,9.325724192876805e-09,9.334770290081451e-09,9.11059183650309e-09,9.065563411070343e-09,9.086388086387842e-09,8.974418541640716e-09,9.057586680683016e-09,9.170404879910166e-09,8.832934383917745e-13,8.79296635503124e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,8.79296635503124e-13,8.832934383917745e-13,8.832934383917745e-13,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,2.930988785010413e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6264674187026307,1.877153053828911,0.5828541340891462,1.1072001167681629,1.877174175169881,0.5047799192268871,0.22610590645308815,1.2418865284949434,0.29687036373789244,1.5086534627346158,1.3230154748970575
2.0,4.218045879990537,5.999545860177982,2.4806672184056255,1.9400821420211605,1.691124639707723,4.904381882156708,5.995525568410136,5.5836251716942815,6.009604666495209,5.337280183415077,4.066649318406791,0.00016385264023810464,0.00010434923395141738,0.00020369209839499192,0.0003962304962312757,0.00019046901159391894,7.738981774529918e-05,0.00018838008065458212,0.00022839684618247702,8.423034116855632e-05,0.00021526924335324438,0.00013300385162784423,5.946271945944659e-07,5.923688255471404e-07,5.931536413150695e-07,5.987211224578459e-07,5.999084895513818e-07,5.963236953121509e-07,5.94716592416944e-07,5.939961811307626e-07,5.936808049611386e-07,5.929547235439259e-07,5.961991638159247e-07,2.2375701291821315e-10,2.234692431102303e-10,2.2350921113911681e-10,2.241407059955236e-10,2.2363710883155363e-10,2.2359714080266713e-10,2.24124718783969e-10,2.240527763319733e-10,2.2350121753333951e-10,2.2382895537020886e-10,2.2372503849510395e-10,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,2.2739587990372456e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6217883556554908,1.8224684441763315,0.9777533475054221,1.5432018364822806,1.9929027621612172,0.6540419553706904,0.3324626146192369,1.32733416440212,0.4195441102985402,1.8341347191139632,1.381021011941523
5.0,5.725219646675762,5.799401043954336,4.519235855914177,3.76674085808612,3.4210332567376134,6.027892174686636,5.660083544768823,6.017424459129328,5.738903968850066,6.0206933138595184,5.683561599373359,0.0027625770924166737,0.001818528528161334,0.003407342633576782,0.0065123546592604775,0.0031976093619090484,0.0013922793614651319,0.0031359408748787843,0.003787117051554656,0.00149757865900213,0.003596893752579877,0.0022756664079115474,7.855441040005573e-05,7.87210140757999e-05,7.85123784026176e-05,7.859145995015027e-05,7.878915884829141e-05,7.8764960389055e-05,7.859288507416906e-05,7.839866276837526e-05,7.866719857618776e-05,7.829322080343815e-05,7.857454045323564e-05,1.4881932886012805e-07,1.486285134966181e-07,1.4866332564977824e-07,1.4906165901606983e-07,1.4875181886253586e-07,1.4871594355980733e-07,1.4905655110197813e-07,1.4900938083428628e-07,1.4865308584077752e-07,1.488720346998207e-07,1.4880396914662697e-07,6.051458179001656e-08,6.051495793357731e-08,6.051476741930628e-08,6.051436196585769e-08,6.051447432042778e-08,6.051462086986703e-08,6.051456225009133e-08,6.051444501053993e-08,6.051474299439974e-08,6.051444012555862e-08,6.051442058563339e-08,7.247624722594992e-11,7.247624722594992e-11,7.248202038567797e-11,7.248202038567797e-11,7.247624722594992e-11,7.247624722594992e-11,7.247624722594992e-11,7.248202038567797e-11,7.247047406622187e-11,7.248202038567797e-11,7.248202038567797e-11,1.505279984635457,1.675777340241552,1.6161428952899888,1.9500136958632197,1.9445794996971122,0.7313841161819754,0.4386253038180592,1.2824367996892785,0.5214101473608919,2.0071435411129177,1.3020286213929362
8.0,6.056260009406383,5.49250053643426,5.6081089479399475,4.853818688962548,4.538215258392103,6.140912877515333,5.323931355918871,5.846044645528454,5.39023628991204,5.931162832296177,6.080361685857882,0.011064485747158681,0.007290279898433116,0.013705225314826208,0.026432119875452464,0.012862866990834831,0.005605233410761468,0.012497795667445466,0.015181299570603546,0.006008318015851,0.014490586012505524,0.009126139482493745,0.0006428994366345364,0.0006445283870855079,0.0006424922032790548,0.0006432907159013013,0.0006452924610758082,0.0006450073898789377,0.0006432594116021484,0.0006413037286416845,0.0006440553022271089,0.0006402949504074051,0.0006431409820342182,2.5230183142710416e-06,2.518671907036918e-06,2.5194615314028113e-06,2.5285650133710647e-06,2.5215145571522157e-06,2.5207084179967865e-06,2.5286204330399187e-06,2.527408234698214e-06,2.519256591337893e-06,2.524214081756071e-06,2.522708570040777e-06,1.7313566718080153e-06,1.7313738327473516e-06,1.7313645854777349e-06,1.7313463889223613e-06,1.7313517819417257e-06,1.731358645340464e-06,1.731355939060819e-06,1.7313501308180435e-06,1.7313641067495666e-06,1.7313497790993893e-06,1.7313492906012584e-06,4.733829328529282e-09,4.7337600506125455e-09,4.73380623589037e-09,4.733852421168194e-09,4.73383510168901e-09,4.733829328529282e-09,4.733817782209826e-09,4.733829328529282e-09,4.73380623589037e-09,4.733794689570914e-09,4.73383510168901e-09,1.3912231704715756,1.5555140617333891,1.8922629174486127,2.0212518827844903,1.8339237768998058,0.69756898385985,0.45307449900675856,1.189815725414205,0.521967897595212,1.9696546256594938,1.1912210495046072
11.0,6.054941978621073,5.206024235131936,6.217763173164825,5.510527681405483,5.26469497972323,6.028936938559488,5.039831125917428,5.585892453227686,5.081198215905655,5.701256494142976,6.1136227165273525,0.027019593289325794,0.017620908097177868,0.033763742360886084,0.06631474812872185,0.031652318042008076,0.013479748565554672,0.030442916866300074,0.03733633960846916,0.014436374843893596,0.035794562776680916,0.022210791122345697,0.0022487155154959915,0.0022528325152686435,0.002246032020149169,0.0022538845458219825,0.0022624317607102817,0.002258020589624987,0.0022500265012910248,0.0022420407601515535,0.002252401752349087,0.002237622994924582,0.0022511459317593463,1.3843695461979166e-05,1.3810214380072239e-05,1.3816710155989398e-05,1.3886385729300343e-05,1.3832409353931041e-05,1.3826244489312245e-05,1.3886660397588457e-05,1.3877290125030584e-05,1.381509589926111e-05,1.3852564255678601e-05,1.3841400357872402e-05,1.2712028101713457e-05,1.2712238659062791e-05,1.2712105768031279e-05,1.2711903461415375e-05,1.2711968885970037e-05,1.271205798314412e-05,1.271202930341886e-05,1.2711950567290131e-05,1.2712121971514279e-05,1.2711941486109879e-05,1.2711950142296757e-05,5.6554398053521027e-08,5.6553549399041e-08,5.655427681716674e-08,5.655501578161193e-08,5.655460011411151e-08,5.6554374960882114e-08,5.6554432692479395e-08,5.655448465091695e-08,5.6554051663937344e-08,5.6553930427583055e-08,5.6554490424076675e-08,1.289863975025309,1.4523826232581758,2.018692278212325,2.008944476805853,1.7248843486307548,0.6452366712588606,0.44285031381783657,1.0987124449807348,0.49968237722135544,1.8952158390538107,1.087243167199356
14.0,5.930602919844802,4.947658950964687,6.556598409635564,5.899153737492533,5.730750936596015,5.852842947740861,4.8016029129260565,5.317844576106765,4.815855696526997,5.442208544533775,6.00893659552472,0.051396817406905715,0.03303690254907288,0.06490833968716192,0.13016549258114019,0.06075329893363346,0.025056136949141994,0.05779535242371292,0.0716776889921178,0.026831805052807134,0.0690293276445808,0.04203744720270519,0.005294207356942415,0.005295534643658506,0.005283001404075449,0.005322349677496341,0.005346293882800612,0.005321655863029129,0.005297210926678453,0.0052760390533839185,0.005299834274705262,0.0052629078935471085,0.005306204913053669,4.475570902284787e-05,4.460720364285464e-05,4.4635942130444306e-05,4.49459855733636e-05,4.470589460225938e-05,4.467857277745679e-05,4.4947456081079196e-05,4.4905500542036236e-05,4.4628654931599954e-05,4.47954427031938e-05,4.4745947503255223e-05,4.975939433649046e-05,4.976063440365053e-05,4.975986049560177e-05,4.9758648214215384e-05,4.975904964732436e-05,4.975957844166601e-05,4.975940286566782e-05,4.975892565184381e-05,4.975996066702848e-05,4.9758866709659344e-05,4.97589375711982e-05,3.093329934422684e-07,3.093323353020594e-07,3.0933304540070594e-07,3.0933356498508147e-07,3.0933294148383084e-07,3.093329299375114e-07,3.0933383055042896e-07,3.0933384786990814e-07,3.0933206396355217e-07,3.093330569470254e-07,3.0933295880331e-07,1.1981332803649818,1.360336387307786,2.06993508190844,1.9657969124330723,1.6222955927576401,0.5897425438093928,0.4231882581536124,1.0129140138527042,0.4702945713479276,1.8112814801500097,0.9915286527647473
17.0,5.757210827336888,4.714715513402986,6.731491139733358,6.113213205214715,6.01798808137023,5.663072656612467,4.6013957321294106,5.062370988077082,4.5893968929482,5.185498265536013,5.848713959956087,0.0841784110403232,0.053252820115554655,0.10751055688767552,0.22009385751622812,0.1004578462789274,0.03998845920488936,0.09445710016294351,0.11853640922765196,0.04282209884207022,0.11471658313572775,0.06847415916889643,0.009981923105729873,0.009959648073639027,0.009947880378472274,0.010079501584593586,0.010131701644306101,0.010045744851688632,0.009987038109430912,0.00994353792261693,0.009982335662262809,0.009912511929308643,0.010021362007052836,0.00010735994190458342,0.00010688052994645147,0.00010697379643698213,0.00010797604730727883,0.00010720007681541688,0.00010711162703591626,0.00010797901671200094,0.00010784419308773607,0.00010694956859325089,0.00010748884318623197,0.00010732940161028992,0.00013647711261155493,0.00013648200126636922,0.00013647902111024734,0.0001364741570073491,0.00013647579226461204,0.00013647783599424201,0.00013647710162523197,0.00013647522519644184,0.00013647935375793452,0.00013647498794266966,0.00013647528744087367,1.0899727471702647e-06,1.0899695315202962e-06,1.089972169854292e-06,1.0899758127180803e-06,1.0899722218127295e-06,1.0899720370716182e-06,1.089977284873811e-06,1.0899768518868314e-06,1.0899684346199479e-06,1.0899730531477303e-06,1.0899725682023131e-06,1.1134747509810117,1.2758844267383496,2.0784943901747215,1.9088774111158058,1.5256577139193706,0.5349237558949711,0.39916960591274986,0.9322367793777682,0.4383630222154129,1.7252919090608332,0.9028566747103901
20.0,5.566161524168528,4.503533993492918,6.802631180019069,6.210135908040292,6.179867346721525,5.4787543510694245,4.432862707554071,4.825131958083038,4.396622357475916,4.941677916053369,5.668784755248551,0.12484925591176754,0.07771428934164382,0.16128550124098862,0.33658053380299036,0.15045258744717405,0.05775955221085205,0.1397302579212667,0.17747264742271396,0.061836801623020854,0.17267213256021208,0.1010154800679941,0.0163769437871899,0.016283948713791574,0.016293419118086128,0.016636698336611744,0.016732840052306575,0.01650387048480839,0.016383798057518106,0.016308483161553866,0.01635282610900779,0.016245430475501976,0.016478064336222342,0.00021343862324352258,0.00021218102723619126,0.00021242828842771289,0.00021506520009273444,0.0002130216175975086,0.00021278508913269434,0.00021506195217479984,0.00021471485791346723,0.00021235958554832735,0.00021378517232495398,0.00021336013875661308,0.00029922614059874064,0.00029924116211166307,0.00029923184631552857,0.0002992168251298999,0.00029922227108780675,0.0002992287713174946,0.0002992261626104664,0.0002992198055644657,0.0002992334501819016,0.00029921930450216294,0.00029922075028565587,2.9079385921448875e-06,2.907926970774355e-06,2.9079410746035705e-06,2.907947627139862e-06,2.907938372764818e-06,2.907937501017699e-06,2.907946051067256e-06,2.9079521359776095e-06,2.907922981520983e-06,2.9079418828459325e-06,2.9079384651353735e-06,1.034312742924127,1.1970549754460853,2.060841541423971,1.845268451950031,1.4340615226583937,0.4820050333468213,0.3730324339872815,0.8561922359969678,0.4056090568317723,1.6399400956189263,0.8201637182883297
