Ecms,phase_sing_20,phase_trip_20,delta_plus20,delta_minus20,epsi_p20,phase_sing_21,phase_trip_21,delta_plus21,delta_minus21,epsi_p21,phase_sing_22,phase_trip_22,delta_plus22,delta_minus22,epsi_p22,phase_sing_23,phase_trip_23,delta_plus23,delta_minus23,epsi_p23,phase_sing_24,phase_trip_24,delta_plus24,delta_minus24,epsi_p24,phase_sing_25,phase_trip_25,delta_plus25,delta_minus25,epsi_p25,phase_sing_26,phase_trip_26,delta_plus26,delta_minus26,epsi_p26
0.001,-3.3273119596647575e-07,0.0006367959754954447,-1.9417988592922127e-11,-0.026580414178653613,-2.096354687175609e-07,3.98461302359869e-12,2.6596152989963177e-08,9.494234479161225e-17,3.2333938472504105e-08,-4.588148989713667e-12,-8.29473626188752e-16,4.849084139024618e-14,-9.685788020565963e-21,3.6389072120036407e-13,9.478730928166125e-16,6.6106441889737234e-21,-2.09289933012312e-18,4.5643690661576585e-26,-1.996786975476291e-18,-7.74317271148517e-21,-7.05843223923704e-25,-5.757359504333246e-22,-4.474945319099196e-30,-5.6076149469051425e-22,8.373348742408201e-25,3.6632470924670835e-30,4.179053967512524e-27,1.8074152357422236e-35,4.235831688540096e-27,-4.1942165216903174e-30,0.11533023242494438,2.9493956780208365e-07,0.0,0.0,0.0
0.05,-0.0001164104854828851,0.004383808116987499,-3.3821865534816094e-07,-0.18683668728303093,-7.271639577956205e-05,6.959570038178376e-08,9.427353149337482e-06,5.830740848797664e-11,1.1454492153846228e-05,-8.016218587205927e-08,-4.879010131793214e-10,7.019893192273183e-10,-3.4026181311763643e-13,6.268178549445423e-09,5.677335723610309e-10,2.88461711454747e-13,6.747208392842382e-13,9.934523083363142e-17,8.060312211738101e-13,-3.378403495780557e-13,-1.5328420623502723e-15,-2.53433055238094e-14,-4.862017402562515e-19,-2.4738767869273374e-14,1.818810103936061e-15,3.9664272973972606e-19,9.181021307411013e-18,9.766748251921123e-23,9.217530733664432e-18,-4.54493061509509e-19,0.6684068812994269,0.00010369002613887383,0.0,0.0,0.0
1.0,-0.008638444407025717,0.010706997863670676,-0.0004684360701809667,-0.7585461316657438,-0.0047119997570741375,0.00010016668868477975,0.0008756430086341224,1.631677317691054e-06,0.0010544748548711976,-0.00011572072799289705,-1.2559510352745644e-05,-2.759103403092624e-06,-1.6338576038185127e-07,6.852233116371596e-06,1.4761899989539392e-05,1.1091895971842864e-07,4.8091488918818004e-08,9.66497974430206e-10,5.253652481259206e-08,-1.2559089910565445e-07,-1.757792679119117e-08,-5.50495546408926e-09,-1.292394543291761e-10,-5.131842527977241e-09,1.982762896896624e-08,1.1271592685577545e-10,3.7810509729732416e-11,3.693912444898567e-13,3.800676629429101e-11,-1.2528268957378112e-10,1.1238151126827616,0.008349235813202332,0.0,0.0,0.0
2.0,-0.020637449236179498,0.004980700354031009,-0.002116902547448273,-0.9938779022595274,-0.01015533494636973,0.0004624127140595292,0.0025322063946023273,1.4543198995544146e-05,0.003031048949320744,-0.000534765621631564,-0.00010363516188485511,-2.8693664206242878e-05,-2.624401616577779e-06,2.3783951583994323e-05,0.00012316094401987004,1.7849737691412566e-06,6.770592752180306e-07,3.088162100014017e-08,7.240704065483378e-07,-2.0323659034336905e-06,-5.302188743806347e-07,-1.3482933827699074e-07,-7.871576880574196e-09,-1.2709539977947016e-07,5.9917129497983e-07,6.8920496694759906e-09,1.6774495419905922e-09,7.141761536028357e-11,1.6853426296510926e-09,-7.664778318075132e-09,1.1203310496845718,0.02130401247915925,0.0,0.0,0.0
5.0,-0.05483881499170079,-0.023769264853228615,-0.01240141884842488,-1.346276882458088,-0.02203272437110619,0.0027892806206869817,0.010148719359942321,0.00019480996079063135,0.012040429430565677,-0.0032003784904483163,-0.0011646116878505318,-0.0003936598537639941,-6.762072785112759e-05,7.655354106672374e-05,0.0014299146209141326,4.543809165509194e-05,1.7561928203765165e-05,1.878554780114859e-06,1.8552979351535698e-05,-5.2663835839616596e-05,-2.7178860590705482e-05,-6.712833196519472e-06,-9.998660020759097e-07,-6.338196843974433e-06,3.1030128891010596e-05,8.816111734201454e-07,1.8506561600751647e-07,2.3339466019455504e-08,1.8616891302189501e-07,-9.850983584077245e-07,1.0455376089362112,0.06390991710301831,0.0,0.0,0.0
8.0,-0.08236806337736206,-0.0540125787332913,-0.027059523053702825,-1.5385482036773832,-0.02905630457594297,0.006196451358697204,0.02012596335000243,0.0006141348171408203,0.02378703845976878,-0.006964775017758589,-0.0032515932959757475,-0.001209428246011518,-0.0002820592103435593,0.0001819264771391114,0.004109342472885559,0.0001836232151050685,7.751937967298117e-05,1.1482279285028251e-05,8.197298707983483e-05,-0.00021632096881876424,-0.00014350312419262869,-3.8283436494423525e-05,-8.047784545420194e-06,-3.579345688121495e-05,0.00016627285359558833,7.0708307053867095e-06,1.5655179204464114e-06,2.949783705290495e-07,1.576124612212277e-06,-7.970303675442558e-06,0.9752740383597911,0.10149854667420914,0.0,0.0,0.0
11.0,-0.10452463889842442,-0.08210451205350515,-0.04354593544930804,1.4687922875284454,0.03353104915918973,0.01015727930387082,0.03137282916832516,0.0012317066308012614,0.03699591990330253,-0.01108189065065752,-0.005949672446482216,-0.0023647532555575394,-0.0006754235300229295,0.0004690902404004656,0.0077122793713113634,0.00042234676535875796,0.00019494269493145565,3.4463496517614253e-05,0.0002067397444123575,-0.0005043737168708437,-0.00038364727016239466,-0.00010987556661735013,-2.793101305633722e-05,-0.00010138414221841205,0.00045138826060407336,2.4205325327016085e-05,5.753028167567192e-06,1.3377017978151711e-06,5.8012114112968135e-06,-2.7574721171368815e-05,0.9146165369317633,0.13132455869699136,0.0,0.0,0.0
14.0,-0.12285749151630289,-0.10771323487731212,-0.06070740079373153,1.3645820881096278,0.03659553000666698,0.01445729445600501,0.043280261927643573,0.001993667584162855,0.05094697234103816,-0.01520829625966516,-0.008947245872438898,-0.0037419556155989047,-0.001245806288714576,0.0010390191886410314,0.011863532188489442,0.0007463094268204922,0.0003747047173856169,7.394431137290235e-05,0.0003987531687960606,-0.0009012700990006689,-0.0007495453263036454,-0.00022802466804987408,-6.600824348589724e-05,-0.00020734693214863315,0.0008946026687494747,5.60646346111469e-05,1.4213149217577511e-05,3.7811225428305784e-06,1.4360861336847475e-05,-6.454314225246924e-05,0.8612783973705596,0.15382914096659528,0.0,0.0,0.0
17.0,-0.13844250261292632,-0.13101815913137024,-0.07799437287925003,1.278776563896684,0.038817411297718846,0.01900583129829224,0.05546437439147352,0.0028559706050142334,0.06518169159986947,-0.019182569737931265,-0.01205521497701261,-0.0052525762601603595,-0.00198059372060171,0.0019529039312903126,0.016315618647036505,0.001136869780237156,0.0006175440906564413,0.00013098928499539613,0.0006592909964968372,-0.001385422104158017,-0.0012268844463025146,-0.0003934713928680572,-0.00012564784148815146,-0.0003523356898946755,0.0014838323018532115,0.00010428169434833852,2.8016680672392674e-05,8.213832750943253e-06,2.83631266213417e-05,-0.00012122394242851216,0.8134998507811828,0.1700833815550091,0.0,0.0,0.0
20.0,-0.1520048425883645,-0.15226831402762733,-0.0951353466828079,1.2054349532985738,0.04049947415193432,0.02376141612999101,0.0676670638025259,0.003785941016584777,0.07939032456475338,-0.022928861155294685,-0.015163568485059096,-0.006834701308998689,-0.002864491965555474,0.0032441241394864395,0.020911328956237294,0.001577346291938618,0.0009223410212470163,0.00020542404209454424,0.0009877056887315906,-0.0019366495648363428,-0.0017971680203587336,-0.0006038863826344796,-0.00020848228081398322,-0.0005322505863662335,0.002199995792156498,0.00016886456484903648,4.7843216435724204e-05,1.5107688926929044e-05,4.853214397486794e-05,-0.00019806055456597795,0.770084241300219,0.18117809556927653,0.0,0.0,0.0
