Energy Exact Mix4Av Mix6Av Mix8Av Mix10Av Exact5% Exact95%
3 1812.00541331458 1878.31340067235 1813.40951771161 1812.17428868809 1812.00299970277 1238.26051430152 2299.04326999057
5 1650.27639803769 1650.68958735005 1650.92387713722 1650.29807690234 1650.27334307491 815.549063033617 2336.79731457875
7 1503.62379354621 1501.62244215945 1502.55742138228 1503.57134540947 1503.62240517494 836.745281148929 2191.68850036672
9 1335.47897302167 1340.89788887086 1336.08282879515 1335.36552210412 1335.47746672389 765.191238491518 2022.26764990044
11 1164.98418540712 1167.29200893519 1164.66406522243 1165.03541475674 1164.98390409876 726.068701404093 1926.17881630578
13 1118.76461273796 1119.10811620439 1118.25726618655 1118.78112338128 1118.76475987274 731.822231472144 1760.78820434634
15 1053.39655061433 1058.66532489963 1053.24214680292 1053.40035437111 1053.39687886696 764.735393720957 1544.88531928597
17 1010.15351535273 1020.41835334802 1010.21652598362 1010.1617201776 1010.15429209106 760.377932855821 1359.46814887389
19 1014.39939271267 1023.4081766631 1014.50811546569 1014.39691606461 1014.40076146383 804.624840345341 1293.54023175661
21 1064.13392365894 1068.52483712597 1063.98513872055 1064.10211751242 1064.13522909299 858.300525373722 1297.58005582635
23 1076.55630943361 1079.36283430774 1076.31361952913 1076.54905209782 1076.55732402255 869.829240522247 1308.58375192452
25 1132.1463539903 1134.11222137098 1131.91184044189 1132.15506018584 1132.14707415092 888.121761547003 1379.57547390236
27 1160.39588065529 1163.00996502847 1160.34898259278 1160.4025547404 1160.39599917844 914.372393662797 1408.56214309171
29 1226.89784179501 1230.79058465899 1226.86501705141 1226.90882973524 1226.89753467255 988.822528798066 1465.16134012218
