Energy Mix4Av Mix6Av Mix8Av Mix10Av MedianMix4 95%Mix4 MedianMix6 95%Mix6 MedianMix8 95%Mix8 MedianMix10 95%Mix10
3 0.049457955397464 0.001458503895703 0.000119490451831 3.55568214186326E-06 0.022521979777057 0.192795510827751 0.000612796611217 0.006190151260106 3.60415183844613E-05 0.00059689150578 1.39119332686088E-06 1.40147383602643E-05
5 0.023930223817672 0.000730854503643 5.86355489303318E-05 2.53380122528343E-06 0.013422344869116 0.088237394991582 0.000316500276406 0.001980513004753 3.2418779269592E-05 0.000202516070038 1.06051509219598E-06 8.84540312129337E-06
7 0.0142395207908 0.000970569453997 8.0257401619364E-05 1.7116462716487E-06 0.006388169233744 0.050903290586645 0.000308726564887 0.004165714357683 4.07431643087195E-05 0.00027344064523 8.6166336306998E-07 7.05326732394301E-06
9 0.011966865083756 0.001060233447541 0.000213320484064 2.05173831299926E-06 0.005314805052819 0.048497434880377 0.000488834437904 0.004548629785495 7.23733953506281E-05 0.000973693591113 8.73407556383222E-07 8.10402202225748E-06
11 0.011156550296602 0.000623808838141 7.05096427753089E-05 1.21666336493131E-06 0.005416818045379 0.050908065497913 0.000278326890064 0.002787316626534 3.11000439348082E-05 0.000292749449864 4.8583121066157E-07 4.99168132617348E-06
13 0.013458556330291 0.000738793272857 4.53152554280244E-05 1.62239840395371E-06 0.007161365186481 0.050329154641589 0.000291574326728 0.003200111150601 2.55373548366936E-05 0.000161332912268 7.46234359140931E-07 7.02495053424974E-06
15 0.018255276931439 0.00065387680616 3.43256099415677E-05 1.24656364266829E-06 0.007354023472383 0.090541287103642 0.000238367049618 0.002927229647004 2.02304119570369E-05 0.000139330118742 7.51838770504476E-07 4.8920367142107E-06
17 0.026497380719311 0.000539162560507 2.85213450161022E-05 1.18551774293083E-06 0.01195843873611 0.109568137100311 0.000192339756941 0.002772942338425 1.38552507571155E-05 0.000117525491386 5.3432431759967E-07 4.56213367281842E-06
19 0.020141002606305 0.000310592716629 2.89723018878647E-05 1.58909732803161E-06 0.011103953015466 0.072785232399267 0.000136971213265 0.001237957066822 1.40118433394905E-05 0.000138155961097 6.00808896329722E-07 7.15049057211176E-06
21 0.013446641669405 0.000364396168563 4.03507900317201E-05 1.55318703396372E-06 0.008972852404199 0.044617222634975 0.000156286240608 0.001546964333433 1.50377177409726E-05 0.000129659904898 7.19431732551177E-07 5.30919652902717E-06
23 0.007568398728988 0.000321811872619 3.73349765786174E-05 1.37136445724162E-06 0.003574288258678 0.032364869954024 0.000145432552013 0.001253610116073 1.51616605147776E-05 0.000153844851727 6.77409791219552E-07 5.4696380871259E-06
25 0.005077530791292 0.000254298895863 4.76407962022898E-05 1.12299570708874E-06 0.002037234632383 0.019908884299965 0.000109438428287 0.000980806654616 1.54161466592956E-05 0.000205647201589 4.90424662611939E-07 4.59443733382516E-06
27 0.00463636964765 0.000128098235338 3.02468831123365E-05 7.34463846211792E-07 0.001663352685184 0.021326532280193 6.87191468676407E-05 0.000531464059075 1.18685961299175E-05 0.000117392359764 3.72259910345999E-07 2.81825602530293E-06
29 0.005344428506971 0.000132457145471 2.76214882313756E-05 7.957119655757E-07 0.00162730584848 0.026427420558538 7.6252183896459E-05 0.000481707432922 9.98356066215142E-06 0.000118406217135 3.9431350808766E-07 3.14562938499646E-06
